model,distance,width,n_graphs,accuracy_mean,accuracy_sd,matched_influence_mean,matched_influence_sd,specificity_mean,specificity_sd
GraphSAGEPairNorm,8,8,5,0.9957899305555555,0.001307497424600043,3.4994801392157875,0.2123872131689066,0.8442616457127287,0.011854442195900783
GraphSAGEPairNorm,10,1,5,0.9741319444444445,0.004558970631530804,4.774183663974205,0.3928112419543774,0.9550774559215265,0.006641618725029128
GraphSAGEPairNorm,10,2,5,0.972439236111111,0.004344344882631831,4.615615906504294,0.22594803300994798,0.9469450391744282,0.004571081702523169
GraphSAGEPairNorm,10,4,5,0.9758463541666667,0.003993144011323948,4.215823523017267,0.3450732187247317,0.9131123183334054,0.005333390543778833
GraphSAGEPairNorm,10,8,5,0.9901258680555556,0.002727822285151232,3.956066168223818,0.23576557545306798,0.8551419508888015,0.014546075875212965
GraphSAGEPairNormRewired,2,1,5,1.0,0.0,0.09363938046820598,0.004314489781042168,0.9749817542476678,0.0021918198332292428
GraphSAGEPairNormRewired,2,2,5,1.0,0.0,0.09369958883932364,0.004080650537323533,0.9741903960317598,0.0014390829693904292
GraphSAGEPairNormRewired,2,4,5,1.0,0.0,0.09389065879707535,0.0038517644663687797,0.9588216133094246,0.0017863437455420393
GraphSAGEPairNormRewired,2,8,5,0.9999565972222222,5.943170111821756e-05,0.09578517131885747,0.004802350329598547,0.9190478032991269,0.007615977323807186
GraphSAGEPairNormRewired,4,1,5,1.0,0.0,0.06382420870152902,0.0037947168437175074,0.9676030325117972,0.0018498186525293375
GraphSAGEPairNormRewired,4,2,5,1.0,0.0,0.06594710479403147,0.0032344294475837895,0.9665399129984588,0.0024038680781809335
GraphSAGEPairNormRewired,4,4,5,1.0,0.0,0.06814403588444595,0.003256598779251949,0.9575525861686721,0.0014876415871777047
GraphSAGEPairNormRewired,4,8,5,1.0,0.0,0.06917864632074876,0.002016336552743564,0.9313260869301745,0.002714999017622508
GraphSAGEPairNormRewired,6,1,5,1.0,0.0,0.05204316211068847,0.0014153380417450145,0.9634223738837686,0.001728396981381682
GraphSAGEPairNormRewired,6,2,5,1.0,0.0,0.05584564392484026,0.0029270203783554154,0.9613076750103995,0.0011288711178972983
GraphSAGEPairNormRewired,6,4,5,1.0,0.0,0.05687170673336368,0.0015489487232997051,0.9548005447298344,0.0027671642962286197
GraphSAGEPairNormRewired,6,8,5,1.0,0.0,0.05772863198150541,0.0020616928072423545,0.924673511198519,0.003815128206327064
GraphSAGEPairNormRewired,8,1,5,0.9998046875,0.00022237306349741693,0.043692022493708765,0.003412363258690435,0.9586244520562337,0.0027110680051428884
GraphSAGEPairNormRewired,8,2,5,0.9999131944444445,0.00019410312304683435,0.05288798949683647,0.004670724270227331,0.9566129895143222,0.0013399102640046041
GraphSAGEPairNormRewired,8,4,5,0.9998914930555556,0.00015345199244502374,0.03973603140251119,0.0010039271412271965,0.9495277412811258,0.006110924205475489
GraphSAGEPairNormRewired,8,8,5,0.9999565972222222,9.705156152340941e-05,0.0408476041766941,0.003582505313823049,0.9303366430223645,0.007894044247568155
GraphSAGEPairNormRewired,10,1,5,0.9995876736111111,0.00046922196854249753,0.041240665449155736,0.012946806854810632,0.9552077720180344,0.003264467311711443
