regime,dataset,h,family,metric,n,baseline_L2,baseline_L8,pairnorm_L2,pairnorm_L8,baseline_depth_change,pairnorm_depth_change,interaction,positive_interactions,signflip_p,pairnorm_L8_effect
replicated,PubMed,0.5,GraphSAGE,mean_pairwise_cosine_distance,5,0.5872028589248657,7.152557373046875e-08,0.9974106311798095,0.9942190766334533,-0.587202787399292,-0.0031915545463561566,0.5840112328529358,5,0.0625,0.9942190051078796
replicated,Roman-Empire,0.1,GCN,normalized_dirichlet_energy,5,0.3747029791874855,0.06759871558329587,0.7663365600373242,0.2730717471072429,-0.3071042636041896,-0.4932648129300813,-0.1861605493258917,0,0.0625,0.20547303152394708
replicated,Roman-Empire,0.1,GCN,effective_rank_ratio,5,0.2635217189788818,0.025608643144369104,0.5342632293701172,0.15222984254360195,-0.2379130758345127,-0.3820333868265152,-0.14412031099200254,0,0.0625,0.12662119939923286
replicated,Roman-Empire,0.1,GCN,mean_pairwise_cosine_distance,5,0.45245450735092163,0.24824154376983637,0.9986872196197509,0.9974847555160522,-0.20421296358108526,-0.001202464103698664,0.20301049947738656,5,0.0625,0.7492432117462158
replicated,Roman-Empire,0.1,GraphSAGE,normalized_dirichlet_energy,5,1.638881896836611,1.1048859227517087,1.7597673132794267,1.7968650826446695,-0.5339959740849022,0.037097769365242915,0.5710937434501451,5,0.0625,0.6919791598929605
replicated,Roman-Empire,0.1,GraphSAGE,effective_rank_ratio,5,0.44724920988082884,0.12234816104173656,0.5957455635070801,0.13229779005050654,-0.32490104883909227,-0.4634477734565735,-0.13854672461748127,0,0.0625,0.009949629008770004
replicated,Roman-Empire,0.1,GraphSAGE,mean_pairwise_cosine_distance,5,0.8656774282455444,0.7133695244789123,0.9988581299781799,0.997798764705658,-0.15230790376663209,-0.0010593652725219727,0.1512485384941101,5,0.0625,0.2844292402267456
replicated,Roman-Empire,0.5,GCN,normalized_dirichlet_energy,5,0.28557708088315437,0.08047271207805343,0.5859406812200859,0.22548363162575277,-0.20510436880510094,-0.3604570495943331,-0.1553526807892322,0,0.0625,0.14501091954769932
replicated,Roman-Empire,0.5,GCN,effective_rank_ratio,5,0.20576646625995632,0.05991408303380006,0.4332146644592284,0.14192180633544918,-0.1458523832261563,-0.2912928581237793,-0.14544047489762302,0,0.0625,0.08200772330164911
replicated,Roman-Empire,0.5,GCN,mean_pairwise_cosine_distance,5,0.44868097305297844,0.5963100552558899,0.9969513535499572,0.9866107344627381,0.14762908220291143,-0.010340619087219283,-0.15796970129013072,0,0.0625,0.39030067920684813
replicated,Roman-Empire,0.5,GraphSAGE,normalized_dirichlet_energy,5,0.9005970991537572,0.5532591292148668,1.1990606690085879,0.7806631949523648,-0.34733796993889043,-0.41839747405622313,-0.07105950411733256,1,0.1875,0.22740406573749797
replicated,Roman-Empire,0.5,GraphSAGE,effective_rank_ratio,5,0.38468505144119264,0.09912151098251337,0.5526156067848206,0.1475972473621368,-0.2855635404586792,-0.4050183594226838,-0.11945481896400456,0,0.0625,0.0484757363796234
replicated,Roman-Empire,0.5,GraphSAGE,mean_pairwise_cosine_distance,5,0.6889435172080993,0.8504040837287903,0.9984134078025818,0.9970077276229858,0.1614605665206909,-0.0014056801795959916,-0.1628662467002869,0,0.0625,0.1466036438941955
