h,feature_signal,model,seed,epoch,normalized_dirichlet_energy,effective_rank_ratio,mean_pairwise_cosine_distance
0.1,0.25,GraphSAGEPairNorm,3,16,3.635435342180059,0.0097309928387403,0.9999733567237854
0.1,0.25,GraphSAGEPairNorm,3,32,3.5774568369624444,0.0107917543500661,0.999314785003662
0.1,0.25,GraphSAGEPairNorm,3,50,3.5358688026645733,0.0121777607128024,0.9982354640960692
0.1,0.25,GraphSAGEPairNorm,3,100,3.3142451684569085,0.0185368061065673,0.9790703058242798
0.1,0.25,GraphSAGEPairNorm,3,150,3.4653539918483345,0.0157488454133272,0.9934490323066713
0.1,0.25,GraphSAGEPairNorm,3,200,3.328662632003124,0.0211212858557701,0.9888229966163636
0.1,0.25,GraphSAGEPairNorm,4,1,1.981063675487929,0.7574070692062378,0.999273717403412
0.1,0.25,GraphSAGEPairNorm,4,2,2.0020989521333763,0.7359329462051392,0.999411940574646
0.1,0.25,GraphSAGEPairNorm,4,4,2.479592843369718,0.6366296410560608,0.9978369474411012
0.1,0.25,GraphSAGEPairNorm,4,8,3.636255502417213,0.0214198306202888,0.9990342855453492
0.1,0.25,GraphSAGEPairNorm,4,16,3.642922580296762,0.0106555931270122,1.0005254745483398
0.1,0.25,GraphSAGEPairNorm,4,32,3.492599540733908,0.0132001275196671,0.9963304400444032
0.1,0.25,GraphSAGEPairNorm,4,50,3.513306894226725,0.0147923352196812,0.995581030845642
0.1,0.25,GraphSAGEPairNorm,4,100,3.403188786085774,0.0189816150814294,0.9822490215301514
0.1,0.25,GraphSAGEPairNorm,4,150,3.530822426497323,0.016700679436326,0.997598111629486
0.1,0.25,GraphSAGEPairNorm,4,200,3.4472273771627058,0.0193831212818622,0.991971790790558
0.1,0.25,GraphSAGEPairNorm,5,1,1.9939034992736289,0.7666333913803101,0.9989359378814696
0.1,0.25,GraphSAGEPairNorm,5,2,2.0195671815129126,0.7470603585243225,0.9985277056694032
0.1,0.25,GraphSAGEPairNorm,5,4,2.953491504894878,0.564339280128479,0.9976754188537598
0.1,0.25,GraphSAGEPairNorm,5,8,3.611446738963282,0.0159604623913764,1.000710129737854
0.1,0.25,GraphSAGEPairNorm,5,16,3.619101444925084,0.0097172707319259,1.0009539127349854
0.1,0.25,GraphSAGEPairNorm,5,32,3.5356333872378354,0.0106410374864935,1.0001405477523804
0.1,0.25,GraphSAGEPairNorm,5,50,3.545435217244288,0.0115163195878267,1.0003033876419067
0.1,0.25,GraphSAGEPairNorm,5,100,3.5019462294326824,0.0179466810077428,0.9965693950653076
0.1,0.25,GraphSAGEPairNorm,5,150,3.5723183933844798,0.0142565304413437,1.000557541847229
0.1,0.25,GraphSAGEPairNorm,5,200,3.3692360017419327,0.0240751355886459,0.9961069226264954
0.1,0.25,GraphSAGE,1,1,0.0001747370942354,0.3470657169818878,7.742643356323242e-05
0.1,0.25,GraphSAGE,1,2,5.433343000069725e-05,0.2075689285993576,1.4126300811767578e-05
0.1,0.25,GraphSAGE,1,4,1.178561439987373e-05,0.2573167085647583,5.662441253662109e-06
0.1,0.25,GraphSAGE,1,8,6.682693685772952e-07,0.0439518205821514,3.5762786865234375e-07
0.1,0.25,GraphSAGE,1,16,1.953985146253151e-05,0.0119747659191489,5.0067901611328125e-06
0.1,0.25,GraphSAGE,1,32,2.123845988087815e-09,0.0174065791070461,0.0
0.1,0.25,GraphSAGE,1,50,6.089396789461419e-12,0.0516248010098934,1.1920928955078125e-07
0.1,0.25,GraphSAGE,1,100,3.5960338464420484e-12,0.0414205342531204,0.0
0.1,0.25,GraphSAGE,1,150,3.8197682572077736e-14,0.1153227463364601,1.1920928955078125e-07
0.1,0.25,GraphSAGE,1,200,1.8445619022191586e-15,0.0329302959144115,0.0
0.1,0.25,GraphSAGE,2,1,0.0002042432721962,0.3479414582252502,7.94529914855957e-05
