regime,dataset,h,model,nde_epoch8,nde_epoch2400,nde_recovery,rank_ratio_epoch8,rank_ratio_epoch2400,rank_ratio_recovery,pairwise_epoch8,pairwise_epoch2400,pairwise_recovery,margin_epoch8,margin_epoch2400,margin_recovery,effective_rank_epoch8,effective_rank_epoch2400,effective_rank_recovery
lowlabel,Roman-Empire,0.9,GraphSAGE,0.0002863906744787,0.0820386993361909,0.0817523086617122,0.0317511532455682,0.0778802745044231,0.0461291212588549,0.0001928329467773,0.8605968356132507,0.8604040026664734,8.463795757620232e-05,0.8817845262587071,0.8816998883011309,4.06414761543273,9.968675136566157,5.904527521133427
lowlabel,Roman-Empire,0.9,GraphSAGEPairNorm,0.0241336987577039,0.1870706376120253,0.1629369388543214,0.0190100416541099,0.1341994315385818,0.1151893898844719,0.946135985851288,0.9975224494934082,0.051386463642120184,0.5386821173131466,0.9695353649556636,0.430853247642517,2.433285331726067,17.17752723693847,14.744241905212403
replicated,PubMed,0.1,GraphSAGE,4.4190509532097365e-09,4.3996248231877474e-29,-4.4190509532097365e-09,0.030640929378569,0.0078125,-0.022828429378569,0.0,2.384185791015625e-08,2.384185791015625e-08,-1.539909533221362e-10,0.0,1.539909533221362e-10,3.922038960456832,1.0,-2.922038960456832
replicated,PubMed,0.1,GraphSAGEPairNorm,2.925512366582017,2.780028546836429,-0.14548381974558788,0.0171562718227505,0.029913993179798,0.012757721357047499,0.9928348422050476,0.9969568133354187,0.00412197113037116,0.5293609023094177,1.1458546698093417,0.616493767499924,2.196002793312064,3.828991127014144,1.6329883337020799
replicated,PubMed,0.5,GraphSAGE,7.583381779015889e-09,7.088009826776975e-24,-7.583381779015882e-09,0.0224437350407242,0.0078127963468432,-0.014630938693881,0.0,7.152557373046876e-08,7.152557373046876e-08,1.1175869119028903e-09,0.0,-1.1175869119028903e-09,2.8727980852126977,1.0000379323959296,-1.872760152816768
replicated,PubMed,0.5,GraphSAGEPairNorm,0.4916486412443501,1.4884718540033135,0.9968232127589634,0.0346218440681695,0.0310357414186,-0.003586102649569496,0.985487711429596,0.9942190766334532,0.0087313652038572,0.3281699895858764,1.0051715135574342,0.6770015239715578,4.431596040725696,3.9725749015808,-0.4590211391448955
replicated,Roman-Empire,0.1,GraphSAGE,1.2644688792288696e-06,1.1048859227517087,1.1048846582828296,0.0328333655372261,0.1223481610417365,0.0895147955045104,5.030632019042969e-06,0.7133695244789123,0.7133644938468933,1.2293576901356573e-06,0.4148584544658661,0.41485722510817596,4.202670788764941,15.660564613342272,11.457893824577331
replicated,Roman-Empire,0.1,GraphSAGEPairNorm,1.989957957135564,1.7968650826446697,-0.19309287449089418,0.0304551742970943,0.1322977900505065,0.10184261575341219,0.9582494020462036,0.997798764705658,0.03954936265945441,0.2695002317428588,0.7584566593170166,0.48895642757415775,3.89826231002807,16.93411712646483,13.03585481643676
replicated,Roman-Empire,0.5,GraphSAGE,0.0034543166092964,0.5532591292148668,0.5498048126055703,0.0280371833592652,0.0991215109825133,0.0710843276232481,0.0010965108871459,0.8504040837287903,0.8493075728416444,0.0007029199886829,0.7642693877220154,0.7635664677333325,3.5887594699859457,12.687553405761703,9.098793935775756
replicated,Roman-Empire,0.5,GraphSAGEPairNorm,0.6492484649080505,0.7806631949523648,0.13141473004431425,0.0300720956176518,0.1475972473621368,0.11752515174448501,0.989658784866333,0.9970077276229858,0.0073489427566528764,0.4757675111293792,0.9111958339810372,0.435428322851658,3.8492282390594306,18.89244766235351,15.043219423294081
