dataset,variant,model,replicate_design,graph_seed,init_seed,epoch,layer_name,embedding_dim,normalized_dirichlet_energy,effective_rank,effective_rank_ratio,mean_pairwise_cosine_distance
Roman-Empire,scale,GraphSAGEScaleNorm,graph_x_init,3,11.0,2400,pns.6,128,0.1349064908516817,16.915185928344727,0.1321498900651931,0.887597918510437
Roman-Empire,scale,GraphSAGEScaleNorm,graph_x_init,3,29.0,2400,pns.6,128,0.1479211676954349,16.779685974121094,0.131091296672821,0.9083067774772644
Roman-Empire,scale,GraphSAGEScaleNorm,graph_x_init,3,47.0,2400,pns.6,128,0.1285117297866473,15.066289901733398,0.1177053898572921,0.8963316679000854
Roman-Empire,scale,GraphSAGEScaleNorm,graph_x_init,3,65.0,2400,pns.6,128,0.1315956147739267,16.906461715698242,0.1320817321538925,0.9129183888435364
Roman-Empire,scale,GraphSAGEScaleNorm,graph_x_init,3,83.0,2400,pns.6,128,0.1356757018051441,16.09838104248047,0.1257686018943786,0.8904129266738892
PubMed,center,GraphSAGECenterNorm,graph_x_init,4,11.0,2400,pns.6,128,8.407790819544776e-33,0.0,0.0,0.0
PubMed,center,GraphSAGECenterNorm,graph_x_init,4,29.0,2400,pns.6,128,1.3032075770294403e-31,0.0,0.0,1.1920928955078125e-07
PubMed,center,GraphSAGECenterNorm,graph_x_init,4,47.0,2400,pns.6,128,4.2038954097723885e-32,0.0,0.0,1.1920928955078125e-07
PubMed,center,GraphSAGECenterNorm,graph_x_init,4,65.0,2400,pns.6,128,1.401298469924129e-32,0.0,0.0,1.1920928955078125e-07
PubMed,center,GraphSAGECenterNorm,graph_x_init,4,83.0,2400,pns.6,128,1.093012806540821e-31,0.0,0.0,1.1920928955078125e-07
PubMed,scale,GraphSAGEScaleNorm,graph_x_init,4,11.0,2400,pns.6,128,2.107666682263225,3.762122631072998,0.0293915830552577,0.8019377589225769
PubMed,scale,GraphSAGEScaleNorm,graph_x_init,4,29.0,2400,pns.6,128,2.1975584133352366,3.449645519256592,0.0269503556191921,0.8338505029678345
PubMed,scale,GraphSAGEScaleNorm,graph_x_init,4,47.0,2400,pns.6,128,1.8652832094230765,3.7263150215148926,0.0291118361055851,0.7235107421875
PubMed,scale,GraphSAGEScaleNorm,graph_x_init,4,65.0,2400,pns.6,128,2.085866781807069,3.806203603744507,0.0297359656542539,0.8424321413040161
PubMed,scale,GraphSAGEScaleNorm,graph_x_init,4,83.0,2400,pns.6,128,1.89555234696977,3.3789780139923096,0.0263982657343149,0.7434542179107666
Roman-Empire,center,GraphSAGECenterNorm,graph_x_init,4,11.0,2400,pns.6,128,0.0508517692874976,1.8533380031585691,0.0144792031496763,0.3669160604476928
Roman-Empire,center,GraphSAGECenterNorm,graph_x_init,4,29.0,2400,pns.6,128,0.0400243437828828,3.4614903926849365,0.027042893692851,0.6552937030792236
Roman-Empire,center,GraphSAGECenterNorm,graph_x_init,4,47.0,2400,pns.6,128,0.0428961594240872,1.3911746740341189,0.0108685521408915,0.3904265761375427
Roman-Empire,center,GraphSAGECenterNorm,graph_x_init,4,65.0,2400,pns.6,128,0.0515550386278285,1.882676124572754,0.0147084072232246,0.3884711265563965
Roman-Empire,center,GraphSAGECenterNorm,graph_x_init,4,83.0,2400,pns.6,128,0.0121016967564281,1.0695061683654783,0.0083555169403553,0.1895219087600708
Roman-Empire,scale,GraphSAGEScaleNorm,graph_x_init,4,11.0,2400,pns.6,128,0.178048855502735,17.38807487487793,0.1358443349599838,0.8903367519378662
Roman-Empire,scale,GraphSAGEScaleNorm,graph_x_init,4,29.0,2400,pns.6,128,0.151698479012006,16.36265754699707,0.1278332620859146,0.8868861794471741
Roman-Empire,scale,GraphSAGEScaleNorm,graph_x_init,4,47.0,2400,pns.6,128,0.1588351649805744,16.671079635620117,0.1302428096532821,0.874131441116333
