dataset,model,graph_seed,init_seed,lr,test_best,best_val,nde,effective_rank,rank_ratio,pairwise
PubMed,GraphSAGE,4,29,0.001,0.39936748147010803,0.3995943069458008,7.071293722618523e-17,1.0898131132125854,0.0085141649469733,1.1920928955078125e-07
PubMed,GraphSAGE,4,47,0.001,0.39936748147010803,0.3995943069458008,0.0,1.000029683113098,0.007812731899321,1.1920928955078125e-07
PubMed,GraphSAGE,4,65,0.001,0.5404260158538818,0.5349898338317871,0.0,1.0000591278076172,0.007812961935997,0.0
PubMed,GraphSAGE,4,83,0.001,0.39936748147010803,0.3995943069458008,1.6710546055788531e-16,1.2346622943878174,0.0096457991749048,1.1920928955078125e-07
PubMed,GraphSAGEPairNorm,4,11,0.003,0.799152672290802,0.8017241358757019,2.8662832300492744,4.49249792098999,0.0350976400077343,0.9977070093154908
PubMed,GraphSAGEPairNorm,4,29,0.003,0.7536845803260803,0.7702839374542236,2.7016662127657445,6.2513275146484375,0.0488384962081909,0.9905532598495485
PubMed,GraphSAGEPairNorm,4,47,0.003,0.7924100160598755,0.8032454252243042,2.651317774111756,4.793221473693848,0.0374470427632331,0.9993140697479248
PubMed,GraphSAGEPairNorm,4,65,0.003,0.7515961527824402,0.7697768807411194,2.723031618841984,5.079853534698486,0.0396863557398319,0.9980964064598083
PubMed,GraphSAGEPairNorm,4,83,0.003,0.7745091915130615,0.7794117331504822,2.740604658168568,4.879077434539795,0.0381177924573421,0.9970951676368712
PubMed,GraphSAGE,4,11,0.003,0.39936748147010803,0.3995943069458008,0.0,1.0,0.0078125,1.1920928955078125e-07
PubMed,GraphSAGE,4,29,0.003,0.39936748147010803,0.3995943069458008,0.0,1.0,0.0078125,1.1920928955078125e-07
PubMed,GraphSAGE,4,47,0.003,0.39936748147010803,0.3995943069458008,0.0,1.0,0.0078125,1.1920928955078125e-07
PubMed,GraphSAGE,4,65,0.003,0.39936748147010803,0.3995943069458008,0.0,1.0,0.0078125,1.1920928955078125e-07
PubMed,GraphSAGE,4,83,0.003,0.39936748147010803,0.3995943069458008,0.0,1.0,0.0078125,-1.1920928955078125e-07
PubMed,GraphSAGEPairNorm,4,11,0.03,0.8356106877326965,0.8468559384346008,2.557905221633453,5.08787202835083,0.0397490002214908,0.9963715076446532
PubMed,GraphSAGEPairNorm,4,29,0.03,0.8328658938407898,0.8504056334495544,2.640646644910531,5.043051719665527,0.0393988415598869,0.998653531074524
PubMed,GraphSAGEPairNorm,4,47,0.03,0.8306581377983093,0.8473630547523499,2.484664049619781,5.360361099243164,0.0418778210878372,0.985729455947876
PubMed,GraphSAGEPairNorm,4,65,0.03,0.8375797867774963,0.8504056334495544,2.785231585064072,5.3261590003967285,0.0416106171905994,0.9995372891426086
PubMed,GraphSAGEPairNorm,4,83,0.03,0.8402649164199829,0.8488843441009521,2.700135690224552,5.331769943237305,0.0416544526815414,0.9996254444122314
PubMed,GraphSAGE,4,11,0.03,0.4023509621620178,0.4046652913093567,0.0,1.0000211000442505,0.0078126648440957,0.0
PubMed,GraphSAGE,4,29,0.03,0.39936748147010803,0.3995943069458008,3.8649604654935047e-16,1.7895326614379885,0.0139807239174842,-1.1920928955078125e-07
PubMed,GraphSAGE,4,47,0.03,0.3988901376724243,0.4001014232635498,7.597111183078861e-19,1.0075889825820925,0.0078717889264225,1.1920928955078125e-07
