dataset,h,variant,model,graph_seed,init_seed,lr,test_acc,epoch,layer_name,embedding_dim,normalized_dirichlet_energy,effective_rank,effective_rank_ratio,pairwise,source
PubMed,0.1,full,GraphSAGEPairNorm,2,65,0.01,0.8412792682647705,2400,pns.6,128,2.728906891732142,4.77236270904541,0.0372840836644172,0.9998204112052916,realworld_pairnorm_component_reference_matched_lr01_v2
PubMed,0.1,full,GraphSAGEPairNorm,2,83,0.01,0.8323288559913635,2400,pns.6,128,2.480759057799866,4.753528118133545,0.0371369384229183,0.9940630793571472,realworld_pairnorm_component_reference_matched_lr01_v2
PubMed,0.1,full,GraphSAGEPairNorm,3,11,0.01,0.82683926820755,2400,pns.6,128,2.4207128020203204,4.631880283355713,0.0361865647137165,0.991850733757019,realworld_pairnorm_component_reference_matched_lr01_v2
PubMed,0.1,full,GraphSAGEPairNorm,3,29,0.01,0.8270779848098755,2400,pns.6,128,2.780797319784436,4.2491631507873535,0.0331965871155262,0.9995349049568176,realworld_pairnorm_component_reference_matched_lr01_v2
PubMed,0.1,full,GraphSAGEPairNorm,3,47,0.01,0.8294050693511963,2400,pns.6,128,2.680746311287605,4.301535129547119,0.0336057431995868,0.9980076551437378,realworld_pairnorm_component_reference_matched_lr01_v2
PubMed,0.1,full,GraphSAGEPairNorm,3,65,0.01,0.829643726348877,2400,pns.6,128,2.516522802068865,4.609845161437988,0.0360144153237342,0.9925522208213806,realworld_pairnorm_component_reference_matched_lr01_v2
PubMed,0.1,full,GraphSAGEPairNorm,3,83,0.01,0.8261829018592834,2400,pns.6,128,2.471296776446999,4.574438095092773,0.0357377976179122,0.9915733933448792,realworld_pairnorm_component_reference_matched_lr01_v2
PubMed,0.1,full,GraphSAGEPairNorm,4,11,0.01,0.8275552988052368,2400,pns.6,128,2.64812674113552,4.796334266662598,0.0374713614583015,0.9987227320671082,realworld_pairnorm_component_reference_matched_lr01_v2
PubMed,0.1,full,GraphSAGEPairNorm,4,29,0.01,0.8337012529373169,2400,pns.6,128,2.7575485469690446,4.514039993286133,0.0352659374475479,0.9999138116836548,realworld_pairnorm_component_reference_matched_lr01_v2
PubMed,0.1,full,GraphSAGEPairNorm,4,47,0.01,0.8334029316902161,2400,pns.6,128,2.5686095847132107,4.591671466827393,0.035872433334589,0.9956459999084472,realworld_pairnorm_component_reference_matched_lr01_v2
PubMed,0.1,full,GraphSAGEPairNorm,4,65,0.01,0.8263619542121887,2400,pns.6,128,2.4944954756207087,4.845543384552002,0.0378558076918125,0.9889410734176636,realworld_pairnorm_component_reference_matched_lr01_v2
PubMed,0.1,full,GraphSAGEPairNorm,4,83,0.01,0.8353123664855957,2400,pns.6,128,2.711916661197905,4.62895393371582,0.0361637026071548,0.9990207552909852,realworld_pairnorm_component_reference_matched_lr01_v2
PubMed,0.1,full,GraphSAGEPairNorm,5,11,0.01,0.8389521837234497,2400,pns.6,128,2.784290135951755,4.5591559410095215,0.0356184057891368,0.999882161617279,realworld_pairnorm_component_reference_matched_lr01_v2
PubMed,0.1,full,GraphSAGEPairNorm,5,29,0.01,0.842353343963623,2400,pns.6,128,2.9935919902381385,4.3275299072265625,0.0338088274002075,0.996464729309082,realworld_pairnorm_component_reference_matched_lr01_v2
PubMed,0.1,full,GraphSAGEPairNorm,5,47,0.01,0.834178626537323,2400,pns.6,128,2.6931708549297078,4.52061939239502,0.035317339003086,0.9990949630737304,realworld_pairnorm_component_reference_matched_lr01_v2
PubMed,0.1,full,GraphSAGEPairNorm,5,65,0.01,0.8364460468292236,2400,pns.6,128,2.699057281752062,4.4493513107299805,0.0347605571150779,0.9959307312965392,realworld_pairnorm_component_reference_matched_lr01_v2
