domain,regime,dataset,h,feature_signal,model,early_epoch,final_epoch,nde_early,nde_final,nde_recovery,rank_early,rank_final,rank_recovery,pairwise_early,pairwise_final,pairwise_recovery
cSBM,lowlabel,cSBM,0.9,0.5,GraphSAGEPairNorm,8,200,0.3764650069622661,0.5736556665675641,0.19719065960529797,0.0123516291379928,0.0182005036622285,0.0058488745242357,1.0000267624855042,0.9874064207077028,-0.012620341777801358
cSBM,replicated,cSBM,0.1,,GraphSAGE,8,200,0.5012794045691236,1.564742544974539,1.0634631404054153,0.0220720535144209,0.0118783958256244,-0.010193657688796499,0.1358159899711609,0.4260543942451477,0.2902384042739868
cSBM,replicated,cSBM,0.1,,GraphSAGEPairNorm,8,200,3.639374151218734,3.6195936655760894,-0.019780485642644674,0.0089769104495644,0.0108346844092011,0.0018577739596367,1.0001686811447144,1.0007447957992557,0.0005761146545413265
cSBM,replicated,cSBM,0.5,,GraphSAGE,8,200,1.6227356164717662e-05,2.8747723704432224e-12,-1.622735328994529e-05,0.0200898753479122,0.0220393383875488,0.0019494630396366015,3.4689903259277345e-06,-4.76837158203125e-08,-3.516674041748047e-06
cSBM,replicated,cSBM,0.5,,GraphSAGEPairNorm,8,200,1.9301718734963067,1.9710709835096096,0.04089911001330293,0.2961550712585449,0.0236785620450973,-0.27247650921344757,0.84788578748703,0.9991078495979308,0.15122206211090072
real-world,lowlabel,PubMed,0.1,,GraphSAGE,8,2400,2.775866543982008e-09,5.200054001849389e-26,-2.775866543982008e-09,0.0852515947073697,0.0078125,-0.0774390947073697,0.0,0.0,0.0
real-world,lowlabel,PubMed,0.1,,GraphSAGEPairNorm,8,2400,2.8342568759255533,2.651520394619709,-0.1827364813058443,0.0229574799537658,0.0366219989955424,0.013664519041776603,0.9962528705596924,0.9972323775291444,0.0009795069694520375
real-world,lowlabel,PubMed,0.5,,GraphSAGE,8,2400,2.8069546639670277e-09,2.789631129693702e-20,-2.8069546639391315e-09,0.0363131649792193,0.0078131902962922,-0.028499974682927098,0.0,0.0,0.0
real-world,lowlabel,PubMed,0.5,,GraphSAGEPairNorm,8,2400,0.341048292090588,1.4039221769692596,1.0628738848786716,0.0561069466173648,0.0376080386340617,-0.0184989079833031,0.988506531715393,0.9958290696144104,0.007322537899017378
real-world,lowlabel,PubMed,0.9,,GraphSAGE,8,2400,4.0817871427671305e-07,0.1336825637473817,0.13368215556866742,0.0155348049476742,0.0197958182543515,0.004261013306677301,1.1086463928222655e-06,0.6658633828163147,0.6658622741699219
real-world,lowlabel,PubMed,0.9,,GraphSAGEPairNorm,8,2400,0.0827337420191321,0.2314612940350297,0.1487275520158976,0.0228605017066001,0.0271595280617475,0.004299026355147402,0.99425528049469,0.9963122963905334,0.002057015895843395
real-world,lowlabel,Roman-Empire,0.1,,GraphSAGE,8,2400,2.1972549263034338e-06,1.2111419734744575,1.2111397762195313,0.0445766776800155,0.0881100669503211,0.0435333892703056,7.975101470947266e-06,0.7508522868156433,0.7508443117141723
real-world,lowlabel,Roman-Empire,0.1,,GraphSAGEPairNorm,8,2400,1.8161096455459955,1.6852923390492016,-0.1308173064967939,0.0538947373628615,0.1325611531734466,0.0786664158105851,0.9746389508247376,0.9982576131820678,0.023618662357330233
real-world,lowlabel,Roman-Empire,0.5,,GraphSAGE,8,2400,2.5713650480880617e-06,0.2842386859263724,0.2842361145613243,0.0515877988189458,0.0904622003436087,0.038874401524662906,9.632110595703125e-06,0.844292688369751,0.8442830562591553
real-world,lowlabel,Roman-Empire,0.5,,GraphSAGEPairNorm,8,2400,0.3300196789196769,0.7258766149029532,0.3958569359832763,0.0387499462813138,0.1564590960741042,0.11770914979279039,0.9955034375190734,0.997271966934204,0.0017685294151305042
real-world,lowlabel,Roman-Empire,0.9,,GraphSAGE,8,2400,0.0002863906744787,0.0820386993361909,0.0817523086617122,0.0317511532455682,0.0778802745044231,0.0461291212588549,0.0001928329467773,0.8605968356132507,0.8604040026664734
real-world,lowlabel,Roman-Empire,0.9,,GraphSAGEPairNorm,8,2400,0.0241336987577039,0.1870706376120253,0.1629369388543214,0.0190100416541099,0.1341994315385818,0.1151893898844719,0.946135985851288,0.9975224494934082,0.051386463642120184
real-world,replicated,PubMed,0.1,,GraphSAGE,8,2400,4.4190509532097365e-09,4.3996248231877474e-29,-4.4190509532097365e-09,0.030640929378569,0.0078125,-0.022828429378569,0.0,2.384185791015625e-08,2.384185791015625e-08
real-world,replicated,PubMed,0.1,,GraphSAGEPairNorm,8,2400,2.925512366582017,2.780028546836429,-0.14548381974558788,0.0171562718227505,0.029913993179798,0.012757721357047499,0.9928348422050476,0.9969568133354187,0.00412197113037116
real-world,replicated,PubMed,0.5,,GraphSAGE,8,2400,7.583381779015889e-09,7.088009826776975e-24,-7.583381779015882e-09,0.0224437350407242,0.0078127963468432,-0.014630938693881,0.0,7.152557373046876e-08,7.152557373046876e-08
real-world,replicated,PubMed,0.5,,GraphSAGEPairNorm,8,2400,0.4916486412443501,1.4884718540033135,0.9968232127589634,0.0346218440681695,0.0310357414186,-0.003586102649569496,0.985487711429596,0.9942190766334532,0.0087313652038572
real-world,replicated,Roman-Empire,0.1,,GraphSAGE,8,2400,1.2644688792288696e-06,1.1048859227517087,1.1048846582828296,0.0328333655372261,0.1223481610417365,0.0895147955045104,5.030632019042969e-06,0.7133695244789123,0.7133644938468933
real-world,replicated,Roman-Empire,0.1,,GraphSAGEPairNorm,8,2400,1.989957957135564,1.7968650826446697,-0.19309287449089418,0.0304551742970943,0.1322977900505065,0.10184261575341219,0.9582494020462036,0.997798764705658,0.03954936265945441
real-world,replicated,Roman-Empire,0.5,,GraphSAGE,8,2400,0.0034543166092964,0.5532591292148668,0.5498048126055703,0.0280371833592652,0.0991215109825133,0.0710843276232481,0.0010965108871459,0.8504040837287903,0.8493075728416444
real-world,replicated,Roman-Empire,0.5,,GraphSAGEPairNorm,8,2400,0.6492484649080505,0.7806631949523648,0.13141473004431425,0.0300720956176518,0.1475972473621368,0.11752515174448501,0.989658784866333,0.9970077276229858,0.0073489427566528764
