regime,dataset_raw,dataset,h,model,family,pairnorm,seed,split_idx,depth,epoch,layer_index,layer_name,embedding_dim,normalized_dirichlet_energy,effective_rank_ratio,mean_pairwise_cosine_distance,class_separation_margin,fisher_discriminant_ratio
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,3,0,7,2400,12,pns.5,128,2.6353360851344507,0.0348597131669521,0.9943580627441406,0.8157014846801758,1.5163474082946775
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,4,0,7,2400,12,pns.5,128,2.9286908215799787,0.0364519171416759,0.9999947547912598,0.7322549521923065,1.1334071159362793
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,5,0,7,2400,12,pns.5,128,2.66523018565176,0.0357427783310413,0.9980255961418152,0.81355220079422,1.3862131834030151
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,1,0,8,2400,14,pns.6,128,2.6608776735657824,0.0380031242966651,0.9979878067970276,0.7990544438362122,1.3633626699447632
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,2,0,8,2400,14,pns.6,128,2.570729405403105,0.037794392555952,0.9995018243789672,0.8101151287555695,1.3723771572113037
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,3,0,8,2400,14,pns.6,128,2.6781061145665386,0.0367349162697792,0.9989039301872252,0.8219602108001709,1.4370580911636353
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,4,0,8,2400,14,pns.6,128,2.628160597193918,0.0348482877016067,0.9937527179718018,0.8420292139053345,1.5300289392471311
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,5,0,8,2400,14,pns.6,128,2.7197281823692023,0.0357292741537094,0.9960156083106996,0.8530500829219818,1.469085454940796
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,1,0,9,2400,16,pns.7,128,2.572270823787845,0.0367275029420852,0.9949931502342224,0.7931112349033356,1.3517836332321167
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,2,0,9,2400,16,pns.7,128,2.691799216170968,0.0357964783906936,0.9963294863700868,0.8166602849960327,1.4604904651641846
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,3,0,9,2400,16,pns.7,128,2.503155995533201,0.036451481282711,0.9881011843681335,0.8111078441143036,1.397723913192749
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,4,0,9,2400,16,pns.7,128,2.5694715721264343,0.0364539995789527,0.99126398563385,0.7715288400650024,1.304371953010559
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,5,0,9,2400,16,pns.7,128,2.8133079750002503,0.034134916961193,0.9968794584274292,0.8415794372558594,1.6022286415100098
