dataset,variant,model,graph_seed,init_seed,test_best,source
Roman-Empire,full,GraphSAGEPairNorm,3,29,0.9830763339996338,clean_graph_init_factorial
Roman-Empire,full,GraphSAGEPairNorm,3,47,0.9819342494010924,clean_graph_init_factorial
Roman-Empire,full,GraphSAGEPairNorm,3,65,0.9852567315101624,clean_graph_init_factorial
Roman-Empire,full,GraphSAGEPairNorm,3,83,0.9803249835968018,clean_graph_init_factorial
Roman-Empire,full,GraphSAGEPairNorm,4,11,0.9850490689277648,clean_graph_init_factorial
Roman-Empire,full,GraphSAGEPairNorm,4,29,0.9843222498893738,clean_graph_init_factorial
Roman-Empire,full,GraphSAGEPairNorm,4,47,0.9834397435188292,clean_graph_init_factorial
Roman-Empire,full,GraphSAGEPairNorm,4,65,0.9852567315101624,clean_graph_init_factorial
Roman-Empire,full,GraphSAGEPairNorm,4,83,0.9820899963378906,clean_graph_init_factorial
Roman-Empire,full,GraphSAGEPairNorm,5,11,0.9786637425422668,clean_graph_init_factorial
Roman-Empire,full,GraphSAGEPairNorm,5,29,0.978144645690918,clean_graph_init_factorial
Roman-Empire,full,GraphSAGEPairNorm,5,47,0.9804288148880004,clean_graph_init_factorial
Roman-Empire,full,GraphSAGEPairNorm,5,65,0.980221152305603,clean_graph_init_factorial
Roman-Empire,full,GraphSAGEPairNorm,5,83,0.9812074899673462,clean_graph_init_factorial
Roman-Empire,scale,GraphSAGEScaleNorm,1,11,0.9820899963378906,component_ablation_v2
Roman-Empire,scale,GraphSAGEScaleNorm,1,29,0.9860873222351074,component_ablation_v2
Roman-Empire,scale,GraphSAGEScaleNorm,1,47,0.9772620797157288,component_ablation_v2
Roman-Empire,scale,GraphSAGEScaleNorm,1,65,0.9785599112510681,component_ablation_v2
Roman-Empire,scale,GraphSAGEScaleNorm,1,83,0.9783522486686707,component_ablation_v2
Roman-Empire,scale,GraphSAGEScaleNorm,2,11,0.9802730679512024,component_ablation_v2
Roman-Empire,scale,GraphSAGEScaleNorm,2,29,0.9787675738334656,component_ablation_v2
Roman-Empire,scale,GraphSAGEScaleNorm,2,47,0.9739915728569031,component_ablation_v2
Roman-Empire,scale,GraphSAGEScaleNorm,2,65,0.9758085608482361,component_ablation_v2
Roman-Empire,scale,GraphSAGEScaleNorm,2,83,0.975081741809845,component_ablation_v2
Roman-Empire,scale,GraphSAGEScaleNorm,3,11,0.9806883335113525,component_ablation_v2
Roman-Empire,scale,GraphSAGEScaleNorm,3,29,0.979390561580658,component_ablation_v2
Roman-Empire,scale,GraphSAGEScaleNorm,3,47,0.9817266464233398,component_ablation_v2
Roman-Empire,scale,GraphSAGEScaleNorm,3,65,0.9791309833526611,component_ablation_v2
Roman-Empire,scale,GraphSAGEScaleNorm,3,83,0.9808440804481506,component_ablation_v2
Roman-Empire,scale,GraphSAGEScaleNorm,4,11,0.9841146469116211,component_ablation_v2
Roman-Empire,scale,GraphSAGEScaleNorm,4,29,0.9834397435188293,component_ablation_v2
Roman-Empire,scale,GraphSAGEScaleNorm,4,47,0.9780927300453186,component_ablation_v2
Roman-Empire,scale,GraphSAGEScaleNorm,4,65,0.9771063923835754,component_ablation_v2
Roman-Empire,scale,GraphSAGEScaleNorm,4,83,0.9803249835968018,component_ablation_v2
Roman-Empire,scale,GraphSAGEScaleNorm,5,11,0.9713959097862244,component_ablation_v2
Roman-Empire,scale,GraphSAGEScaleNorm,5,29,0.9778850674629211,component_ablation_v2
Roman-Empire,scale,GraphSAGEScaleNorm,5,47,0.9722265601158142,component_ablation_v2
Roman-Empire,scale,GraphSAGEScaleNorm,5,65,0.9760161638259888,component_ablation_v2
Roman-Empire,scale,GraphSAGEScaleNorm,5,83,0.975652813911438,component_ablation_v2
