dataset,model,graph_seed,init_seed,lr,best_epoch,best_val,test_best,source
PubMed,GraphSAGEPairNorm,5,65,0.03,1950,0.8575050234794617,0.8463512063026428,lr_sensitivity
PubMed,GraphSAGEPairNorm,5,83,0.03,503,0.860040545463562,0.8408616185188293,lr_sensitivity
PubMed,GraphSAGE,5,11,0.03,1,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,5,29,0.03,2,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,5,47,0.03,2,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,5,65,0.03,1,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,5,83,0.03,2,0.3995943069458008,0.39936748147010803,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,1,11,0.001,1942,0.36584290862083435,0.35809582471847534,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,1,29,0.001,1733,0.3618711531162262,0.3493744432926178,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,1,47,0.001,1980,0.3645189702510834,0.35575973987579346,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,1,65,0.001,2015,0.3459841012954712,0.3352021872997284,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,1,83,0.001,2022,0.34907326102256775,0.3435082733631134,lr_sensitivity
Roman-Empire,GraphSAGE,1,11,0.001,166,0.42762577533721924,0.42205265164375305,lr_sensitivity
Roman-Empire,GraphSAGE,1,29,0.001,140,0.4386584460735321,0.42667290568351746,lr_sensitivity
Roman-Empire,GraphSAGE,1,47,0.001,174,0.433362752199173,0.4160826504230499,lr_sensitivity
Roman-Empire,GraphSAGE,1,65,0.001,205,0.4139452874660492,0.39957430958747864,lr_sensitivity
Roman-Empire,GraphSAGE,1,83,0.001,160,0.4232127070426941,0.40632298588752747,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,1,11,0.003,2107,0.45101499557495117,0.44105279445648193,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,1,29,0.003,1818,0.448808491230011,0.43409645557403564,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,1,47,0.003,2379,0.46248897910118103,0.44951459765434265,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,1,65,0.003,2144,0.45410415530204773,0.44068941473960876,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,1,83,0.003,2194,0.46954986453056335,0.45179879665374756,lr_sensitivity
