dataset,h,feature_signal,variant,model,graph_seed,init_seed,lr,test_acc,epoch,normalized_dirichlet_energy,effective_rank,effective_rank_ratio,pairwise,source
cSBM,0.1,0.5,scale,GraphSAGEScaleNorm,2,47,0.03,0.9982352256774902,200,2.4692069631157807,1.4361002445220947,0.0112195331603288,0.6640142798423767,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,scale,GraphSAGEScaleNorm,2,65,0.03,0.9982352256774902,200,2.677157572865122,1.3128679990768433,0.0102567812427878,0.7606540322303772,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,scale,GraphSAGEScaleNorm,2,83,0.03,0.9970588088035583,200,2.51095035998534,1.2916388511657717,0.0100909285247325,0.6778072714805603,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,center,GraphSAGECenterNorm,3,11,0.03,0.9994117021560669,200,3.611323539843711,1.6247624158859253,0.0126934563741087,1.00021493434906,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,center,GraphSAGECenterNorm,3,29,0.03,0.9982352256774902,200,3.62479312898626,1.665173053741455,0.0130091644823551,1.0003061294555664,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,center,GraphSAGECenterNorm,3,47,0.03,0.9988234639167786,200,3.6313236713832433,1.5521913766860962,0.0121264951303601,1.000359058380127,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,center,GraphSAGECenterNorm,3,65,0.03,0.9988234639167786,200,3.6268702702702704,1.5861856937408447,0.0123920757323503,1.0002058744430542,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,center,GraphSAGECenterNorm,3,83,0.03,0.9976470470428467,200,3.609257558303618,1.582185983657837,0.0123608279973268,1.0001106262207031,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,scale,GraphSAGEScaleNorm,3,11,0.03,0.9935293793678284,200,2.510308696436365,1.2512797117233276,0.0097756227478384,0.6808819770812988,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,scale,GraphSAGEScaleNorm,3,29,0.03,0.9982352256774902,200,2.3949911063814118,1.3134533166885376,0.0102613540366292,0.6646106839179993,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,scale,GraphSAGEScaleNorm,3,47,0.03,0.99647057056427,200,2.678110047982355,1.2738018035888672,0.009951576590538,0.7278544306755066,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,scale,GraphSAGEScaleNorm,3,65,0.03,0.9994117021560669,200,2.488483121321422,1.3326164484024048,0.0104110660031437,0.6717571020126343,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,scale,GraphSAGEScaleNorm,3,83,0.03,0.9970588088035583,200,2.6456339752845293,1.2193851470947266,0.0095264464616775,0.715869128704071,csbm_l8_pairnorm_component_ablation_fs050
