dataset,model,depth,graph_seed,seed,split_idx,best_epoch,best_val,test_best,data_path
RW-PubMed-H0.1-REP,GCN,5,4,4,0,12,0.4047679603099823,0.4018762707710266,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed4.pt
RW-PubMed-H0.1-REP,GCN,5,5,5,0,29,0.41465890407562256,0.4115111529827118,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed5.pt
RW-PubMed-H0.1-REP,GCN,6,1,1,0,22,0.40806493163108826,0.4150608479976654,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed1.pt
RW-PubMed-H0.1-REP,GCN,6,2,2,0,37,0.4164341986179352,0.40238335728645325,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed2.pt
RW-PubMed-H0.1-REP,GCN,6,3,3,0,1364,0.4131372272968292,0.40567949414253235,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed3.pt
RW-PubMed-H0.1-REP,GCN,6,4,4,0,1626,0.4050215780735016,0.4049188494682312,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed4.pt
RW-PubMed-H0.1-REP,GCN,6,5,5,0,2242,0.4118691384792328,0.4051724076271057,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed5.pt
RW-PubMed-H0.1-REP,GCN,7,1,1,0,2075,0.40324628353118896,0.40618661046028137,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed1.pt
RW-PubMed-H0.1-REP,GCN,7,2,2,0,44,0.4182094931602478,0.4051724076271057,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed2.pt
RW-PubMed-H0.1-REP,GCN,7,3,3,0,1494,0.4136444628238678,0.4079614579677582,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed3.pt
RW-PubMed-H0.1-REP,GCN,7,4,4,0,32,0.4050215780735016,0.3985801041126251,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed4.pt
RW-PubMed-H0.1-REP,GCN,7,5,5,0,1096,0.4118691384792328,0.4033975601196289,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed5.pt
RW-PubMed-H0.1-REP,GCN,8,1,1,0,18,0.4029926657676697,0.4051724076271057,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed1.pt
RW-PubMed-H0.1-REP,GCN,8,2,2,0,11,0.4225209355354309,0.4117646813392639,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed2.pt
RW-PubMed-H0.1-REP,GCN,8,3,3,0,593,0.4133908450603485,0.41252535581588745,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed3.pt
RW-PubMed-H0.1-REP,GCN,8,4,4,0,1538,0.4065432548522949,0.3995943069458008,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed4.pt
RW-PubMed-H0.1-REP,GCN,8,5,5,0,1464,0.4118691384792328,0.4082149863243103,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed5.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,2,1,1,0,1641,0.9208724498748779,0.9026368856430054,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed1.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,2,2,2,0,217,0.9158002138137817,0.9117646813392639,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed2.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,2,3,3,0,473,0.9112351536750793,0.9125253558158875,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed3.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,2,4,4,0,1099,0.9213796854019165,0.9127788543701172,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed4.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,2,5,5,0,312,0.9180827140808105,0.9143002033233643,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed5.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,3,1,1,0,1987,0.9312706589698792,0.9099898338317871,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed1.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,3,2,2,0,975,0.9272128343582153,0.9221602082252502,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed2.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,3,3,3,0,69,0.9241694211959839,0.9246957302093506,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed3.pt
