dataset,model,architecture,uses_pairnorm,num_layers,hidden_channels,seed,graph_seed,split_idx,target_homophily,realized_homophily,best_epoch,nearest_best_metric_epoch,best_test_acc,best_val_acc,best_hidden_pairwise_distance,best_hidden_edge_distance,best_hidden_rank_ratio,best_hidden_normalized_dirichlet,final_hidden_pairwise_distance,final_hidden_edge_distance,final_hidden_rank_ratio,final_hidden_normalized_dirichlet
CSBM-H0.5,GCNPairNorm,GCN,True,6,128,2,2,0,0.5,0.5004213452339172,167,150,0.5575000047683716,0.5424999594688416,0.9961782693862916,0.8132811188697815,0.0320178791880607,1.5178065827553626,0.9935330748558044,0.8178918361663818,0.032453529536724,1.536418565422575
CSBM-H0.5,GCNPairNorm,GCN,True,7,128,2,2,0,0.5,0.5004213452339172,3,2,0.5149999856948853,0.5424999594688416,1.0001919269561768,0.7061068415641785,0.5419382452964783,1.362095335916932,1.0004839897155762,0.8223360180854797,0.0252532102167606,1.527589793846574
CSBM-H0.5,GCNPairNorm,GCN,True,8,128,2,2,0,0.5,0.5004213452339172,147,150,0.5199999809265137,0.5374999642372131,0.9941219687461852,0.8294732570648193,0.0183255579322576,1.5392113487758805,0.9899441003799438,0.8223315477371216,0.0179544258862733,1.5313826765882266
CSBM-H0.5,GraphSAGE,GraphSAGE,False,2,128,2,2,0,0.5,0.5004213452339172,14,16,0.6850000023841858,0.6725000143051147,0.9842110276222228,0.9837133288383484,0.6069336533546448,1.964394106344561,0.7981322407722473,0.8005805611610413,0.5649431943893433,1.60343307336273
CSBM-H0.5,GraphSAGE,GraphSAGE,False,3,128,2,2,0,0.5,0.5004213452339172,18,16,0.6949999928474426,0.6624999642372131,0.0217702984809875,0.0224146600812673,0.4625448286533355,0.0853773535453476,0.3725703954696655,0.3710940778255462,0.1665934473276138,0.9273817383139348
CSBM-H0.5,GraphSAGE,GraphSAGE,False,4,128,2,2,0,0.5,0.5004213452339172,13,16,0.7124999761581421,0.6699999570846558,0.1127868890762329,0.1171920225024223,0.0247465167194604,0.5758706655185855,0.7301812171936035,0.7153027653694153,0.0197108499705791,1.4178084544919267
CSBM-H0.5,GraphSAGE,GraphSAGE,False,5,128,2,2,0,0.5,0.5004213452339172,40,32,0.625,0.6800000071525574,0.4878297448158264,0.495556116104126,0.0196540355682373,1.264904808865419,0.802712082862854,0.8021406531333923,0.0149899534881114,1.744308627701131
CSBM-H0.5,GraphSAGE,GraphSAGE,False,6,128,2,2,0,0.5,0.5004213452339172,32,32,0.6850000023841858,0.6624999642372131,0.4978841543197632,0.5059966444969177,0.0151735357940196,1.2261976266351444,0.7767156958580017,0.7746104598045349,0.0138536924496293,1.68110981730853
CSBM-H0.5,GraphSAGE,GraphSAGE,False,7,128,2,2,0,0.5,0.5004213452339172,34,32,0.5199999809265137,0.5450000166893005,5.4836273193359375e-06,3.869542069878662e-06,0.0117923906072974,1.1024222596764734e-05,0.0,8.178538735137408e-09,0.0124636432155966,5.031598860393095e-10
CSBM-H0.5,GraphSAGE,GraphSAGE,False,8,128,2,2,0,0.5,0.5004213452339172,1,1,0.5,0.5,0.000129222869873,0.0001281582080991,0.3690124750137329,0.0002761928197389,0.0,-6.293455978578777e-09,0.00896174646914,2.641053683693593e-17
CSBM-H0.5,GraphSAGEPairNorm,GraphSAGE,True,2,128,2,2,0,0.5,0.5004213452339172,19,16,0.6875,0.6674999594688416,1.000507116317749,0.9997016191482544,0.5058115720748901,2.002935291211394,1.000144600868225,1.00165057182312,0.5920892357826233,1.987259859491528
CSBM-H0.5,GraphSAGEPairNorm,GraphSAGE,True,3,128,2,2,0,0.5,0.5004213452339172,3,2,0.6825000047683716,0.6624999642372131,1.000420093536377,1.0004152059555054,0.7297136783599854,1.994835803663972,0.9993036389350892,0.9912524819374084,0.4582717418670654,1.979337186329157
CSBM-H0.5,GraphSAGEPairNorm,GraphSAGE,True,4,128,2,2,0,0.5,0.5004213452339172,108,100,0.6549999713897705,0.675000011920929,0.994346559047699,0.9825979471206664,0.1338044106960296,1.9744660996294543,0.9943562746047974,0.9755488634109496,0.1342782229185104,1.949928643963508
CSBM-H0.5,GraphSAGEPairNorm,GraphSAGE,True,5,128,2,2,0,0.5,0.5004213452339172,99,100,0.6524999737739563,0.675000011920929,0.9987757205963136,0.9858365654945374,0.0317440256476402,1.9542513423616457,0.99806809425354,0.9866358041763306,0.0306340437382459,1.956128157488592
CSBM-H0.5,GraphSAGEPairNorm,GraphSAGE,True,6,128,2,2,0,0.5,0.5004213452339172,82,100,0.6599999666213989,0.6674999594688416,0.9955697655677797,0.9844637513160706,0.0254478175193071,1.990066237204976,0.9945152401924132,0.9826510548591614,0.0226271264255046,1.9684660029179009
CSBM-H0.5,GraphSAGEPairNorm,GraphSAGE,True,7,128,2,2,0,0.5,0.5004213452339172,127,150,0.6449999809265137,0.6649999618530273,0.9964469075202942,0.9830564856529236,0.02554452419281,1.9594203295917296,0.9976821541786194,0.9711134433746338,0.023596953600645,1.8912326547369749
