target_homophily,architecture,num_layers,n,baseline_accuracy_mean_pct,baseline_accuracy_std_pct,pairnorm_accuracy_mean_pct,pairnorm_accuracy_std_pct,accuracy_delta_mean_pp,accuracy_delta_std_pp,accuracy_delta_ci95_pp,positive_seeds,negative_seeds,tie_seeds,paired_t_pvalue,wilcoxon_pvalue,final_pairwise_delta_mean,final_pairwise_delta_ci95,final_rank_ratio_delta_mean,final_rank_ratio_delta_ci95,best_pairwise_delta_mean,best_pairwise_delta_ci95
0.1,GraphSAGE,5,5,99.85000014305115,0.22360658450191903,100.0,0.0,0.14999985694885254,0.22360658450191898,0.2776442457373411,2,0,3,0.20799999999999982,0.5,0.40745418071746825,0.03991748692848348,0.004842781275510781,0.000783803443803086,0.8509203791618347,0.1425078889249987
0.1,GraphSAGE,6,5,99.90000009536743,0.13693050878905763,100.0,0.0,0.09999990463256836,0.13693050878905763,0.17002168301909729,2,0,3,0.17780780835622126,0.5,0.3241510152816772,0.03190238880802744,0.0011870665475725798,0.0011213169705072525,0.8700303912162781,0.30084771693950274
0.1,GraphSAGE,7,5,99.90000009536743,0.13693050878905763,99.95000004768372,0.11180329225095949,0.04999995231628418,0.20916480715822416,0.2597124107396004,2,1,2,0.6213082950374971,1.0,0.27591403722763064,0.020202755809785786,0.0002281228080391797,0.0009840611763369414,0.7926390290260314,0.2716562840069836
0.1,GraphSAGE,8,5,80.0,27.386127875258303,100.0,0.0,20.0,27.386127875258307,34.00436903291285,2,0,3,0.17780780835622126,0.5,0.5746904015541077,0.4834933091838724,-0.0010437114164233,0.0022223910962916493,0.9961030960083009,0.009634389565158876
0.5,GCN,2,5,59.949997663497925,1.2918022010318977,60.59999942779542,1.7553502228293087,0.6500017642974854,0.8767855239850398,1.088673019278449,4,1,0,0.17271788716478104,0.25,0.04235265254974367,0.005517633564935367,-0.021324080228805564,0.0031282358647271515,0.02895593643188481,0.007402804739214325
0.5,GCN,3,5,53.749998807907104,1.5811401494900887,51.19999885559082,1.1645803592537745,-2.549999952316284,2.3940035352084825,2.972548001240916,1,4,0,0.07584286828365691,0.125,0.7420819878578186,0.0613951529326652,0.26868372503668075,0.021054346825645835,0.881420373916626,0.12723480662193432
0.5,GCN,4,5,50.29999852180481,1.575198246006837,54.70000028610229,1.6046813983307526,4.400001764297485,2.4849552064837637,3.0854794170398963,5,0,0,0.016687313519030973,0.0625,0.9986044406890869,0.0008119588091103781,0.0798902343958616,0.012120226362068014,0.9991539239883422,0.0007110889857986759
0.5,GCN,5,5,49.84999895095825,1.9413263385071666,52.44999825954437,3.134485835248493,2.5999993085861206,4.794527979752314,5.953192780839085,3,2,0,0.29200559634565176,0.4375,0.9987045764923096,0.0014311888052764839,0.03809416554868222,0.0057999103498753675,0.9991412878036499,0.0007279672220451822
0.5,GCN,6,5,50.49999773502349,2.200851532203677,54.85000014305115,2.440543148216756,4.350002408027649,3.2239330878784775,4.003041647836605,5,0,0,0.039275375280936366,0.0625,0.9954521417617798,0.0053859091298657236,0.0231957122683525,0.004688644918283713,0.9935102462768555,0.006671954740524571
0.5,GCN,7,5,50.04999876022339,2.9706887269287092,52.19999849796295,3.0072826344847314,2.149999737739563,3.44873199138842,4.282166353160583,4,1,0,0.23576595524448318,0.1875,0.9963173389434814,0.0046958703527195415,0.01534199584275486,0.00378425749321475,0.994018268585205,0.006702465584135556
0.5,GCN,8,5,49.599997997283936,2.684444600225886,52.34999835491181,2.349202733038078,2.7500003576278687,3.7038826328375865,4.598977718766611,3,2,0,0.17221149917262235,0.3125,0.9952888011932373,0.004896951723760324,0.01471898425370454,0.0035588538101868797,0.9931946635246277,0.005689843124512135
0.5,GraphSAGE,2,5,66.8999981880188,1.1805732307197603,66.74999833106995,1.6677095448556654,-0.14999985694885254,1.4747907554816215,1.8311945859652634,3,2,0,0.8312418384656703,1.0,0.18676395416259756,0.013046161169169266,0.025301826000213624,0.004038709583701614,0.01751247644424443,0.0018443382872193289
0.5,GraphSAGE,3,5,65.74999809265137,2.5372226739717534,66.54999852180481,1.1645834301246347,0.8000004291534424,2.2803509299207354,2.8314296529530574,3,2,0,0.4766204609632705,0.625,0.5601930737495422,0.09903194734934087,0.24282719790935517,0.04153669644821593,0.9030232429504395,0.17222647805947913
0.5,GraphSAGE,4,5,67.04999804496765,2.996873446276529,65.54999947547913,2.8084691228269154,-1.4999985694885254,4.0466033373055925,5.024521678943566,1,4,0,0.45377383256791554,0.3125,0.23339622020721434,0.07969998661936911,0.09734837599098682,0.012366765360891652,0.85257887840271,0.10366029906386261
0.5,GraphSAGE,5,5,65.6499981880188,2.020210007431391,64.29999828338623,2.196586168819069,-1.3499999046325684,3.3939274267324735,4.214117498290063,1,4,0,0.4240254016831686,0.4375,0.24839775562286376,0.13450358335867454,0.01741652768105268,0.003046777352596761,0.6291748404502868,0.2909716605733945
0.5,GraphSAGE,6,5,62.54999876022339,7.227118576099994,66.24999761581421,1.9202863516097064,3.6999988555908203,7.732640710843498,9.601341581699153,3,2,0,0.34491419068222573,0.4375,0.5747551083564759,0.35221994088478875,0.00907128304243086,0.004126434678162521,0.8612448811531067,0.2580504219802535
0.5,GraphSAGE,7,5,50.39999961853028,0.8944263380076758,64.94999766349792,0.7984352096856866,14.549998044967651,1.3738618561853926,1.7058748053308026,5,0,0,1.8853264152892428e-05,0.0625,0.9990943431854248,0.0010562743447200835,-0.0050786754116415615,0.03405541482780806,0.9921926856040955,0.008797833129057886
0.5,GraphSAGE,8,5,50.0,0.0,64.74999904632568,1.7230066129130335,14.749999046325684,1.7230066129130333,2.139395279921126,5,0,0,4.388645753111931e-05,0.0625,0.9991078972816467,0.0004155202512200464,0.00163922365754842,0.02790745694765958,0.970477306842804,0.07529908825889531
