dataset,architecture,num_layers,hidden_channels,seed,graph_seed,split_idx,target_homophily,realized_homophily,baseline_best_epoch,baseline_best_test_acc,baseline_best_val_acc,baseline_best_hidden_pairwise_distance,baseline_best_hidden_edge_distance,baseline_best_hidden_rank_ratio,baseline_best_hidden_normalized_dirichlet,baseline_final_hidden_pairwise_distance,baseline_final_hidden_edge_distance,baseline_final_hidden_rank_ratio,baseline_final_hidden_normalized_dirichlet,pairnorm_best_epoch,pairnorm_best_test_acc,pairnorm_best_val_acc,pairnorm_best_hidden_pairwise_distance,pairnorm_best_hidden_edge_distance,pairnorm_best_hidden_rank_ratio,pairnorm_best_hidden_normalized_dirichlet,pairnorm_final_hidden_pairwise_distance,pairnorm_final_hidden_edge_distance,pairnorm_final_hidden_rank_ratio,pairnorm_final_hidden_normalized_dirichlet,delta_best_epoch,delta_best_test_acc,delta_best_val_acc,delta_best_hidden_pairwise_distance,delta_best_hidden_edge_distance,delta_best_hidden_rank_ratio,delta_best_hidden_normalized_dirichlet,delta_final_hidden_pairwise_distance,delta_final_hidden_edge_distance,delta_final_hidden_rank_ratio,delta_final_hidden_normalized_dirichlet,accuracy_delta_pp
CSBM-H0.1,GCN,8,128,3,3,0,0.1,0.10047942399978638,17,1.0,1.0,0.224041998386383,0.416774570941925,0.0109471324831247,0.960700911199721,0.5869293212890625,1.0728548765182495,0.0103446431457996,2.3229501619276047,1,1.0,1.0,1.0003401041030884,1.7812886238098145,0.0358669497072696,3.7875324481174353,1.0006157159805298,1.7983752489089966,0.0089397309347987,3.8252974865455927,-16,0.0,0.0,0.7762981057167053,1.3645140528678894,0.0249198172241449,2.826831536917714,0.4136863946914673,0.7255203723907471,-0.0014049122110009003,1.502347324617988,0.0
CSBM-H0.1,GCN,8,128,4,4,0,0.1,0.09760119765996933,30,0.4975000023841858,0.5450000166893005,0.0002540349960327,0.000247037562076,0.0092375539243221,0.0008196004196965,9.41753387451172e-05,0.0001021881907945,0.0078252321109175,0.0002049299947689,1,1.0,1.0,1.000202178955078,1.784299612045288,0.0300301127135753,3.7938692744437215,1.0006563663482666,1.8044673204422,0.0086863646283745,3.838475829251905,-29,0.5024999976158142,0.45499998331069946,0.9999481439590452,1.784052574483212,0.0207925587892532,3.793049674024025,1.0005621910095215,1.8043651322514054,0.0008611325174569997,3.838270899257136,50.24999976158142
CSBM-H0.1,GCN,8,128,5,5,0,0.1,0.10260676592588425,10,1.0,1.0,0.0017080903053283,0.002285327296704,0.0171048827469348,0.0071635080135403,0.5597463846206665,1.0158342123031616,0.0105460127815604,2.2061630066237243,1,1.0,1.0,0.999870777130127,1.7749115228652954,0.0370979532599449,3.7736721980447534,1.0008876323699951,1.7941347360610962,0.0089253317564725,3.794656746670488,-9,0.0,0.0,0.9981626868247987,1.7726261955685914,0.0199930705130101,3.766508690031213,0.4411412477493286,0.7783005237579346,-0.0016206810250878993,1.5884937400467636,0.0
CSBM-H0.1,GraphSAGE,2,128,1,1,0,0.1,0.09996520727872849,106,0.9975000023841858,0.9975000023841858,0.9418985843658448,1.2014784812927246,0.4106299579143524,2.542884586833602,0.7244737148284912,1.0147860050201416,0.3311128914356231,2.201292880038204,31,0.9975000023841858,0.9975000023841858,1.0005629062652588,1.518274188041687,0.4138147532939911,3.0708366331968566,1.0001695156097412,1.4664576053619385,0.4866718351840973,2.9611748787175034,-75,0.0,0.0,0.05866432189941395,0.3167957067489624,0.003184795379638672,0.5279520463632545,0.27569580078125,0.4516716003417969,0.15555894374847418,0.7598819986792993,0.0
CSBM-H0.1,GraphSAGE,2,128,2,2,0,0.1,0.10044276714324951,39,1.0,1.0,0.981756031513214,1.2118408679962158,0.4994681477546692,2.535326977034103,0.6997973918914795,0.9897305369377136,0.315682977437973,2.1575469467229955,28,1.0,1.0,1.000596046447754,1.498590111732483,0.4188212752342224,3.0436478439292256,1.0005816221237185,1.4704091548919678,0.4852173626422882,2.974503835603554,-11,0.0,0.0,0.018840014934539906,0.2867492437362671,-0.08064687252044678,0.5083208668951227,0.300784230232239,0.48067861795425415,0.16953438520431519,0.8169568888805583,0.0
CSBM-H0.1,GraphSAGE,2,128,3,3,0,0.1,0.10047942399978638,155,1.0,0.9950000047683716,0.8606987595558167,1.1447840929031372,0.3694691956043243,2.4340922293839387,0.7640787363052368,1.0595571994781494,0.3375523090362549,2.271785176771849,31,1.0,0.9950000047683716,1.0005842447280884,1.512769341468811,0.4126721620559692,3.0594386635537933,1.0007323026657104,1.4590431451797483,0.4698866605758667,2.9396645129049865,-124,0.0,0.0,0.13988548517227173,0.36798524856567383,0.0432029664516449,0.6253464341698547,0.23665356636047363,0.3994859457015989,0.13233435153961182,0.6678793361331374,0.0
CSBM-H0.1,GraphSAGE,2,128,4,4,0,0.1,0.09760119765996933,92,0.9950000047683716,1.0,0.934251606464386,1.171664476394653,0.4237932562828064,2.4624151000608334,0.7320387959480286,0.9955796599388124,0.3439661264419555,2.125652401747743,30,0.9925000071525574,1.0,1.0005093812942505,1.5005759000778198,0.4289196729660034,3.0265582314674626,1.000598430633545,1.449692964553833,0.4774385690689087,2.916444285869003,-62,-0.002499997615814209,0.0,0.0662577748298645,0.3289114236831667,0.0051264166831970215,0.5641431314066292,0.26855963468551636,0.45411330461502064,0.13347244262695318,0.7907918841212598,-0.2499997615814209
CSBM-H0.1,GraphSAGE,2,128,5,5,0,0.1,0.10260676592588425,130,0.9975000023841858,0.9975000023841858,0.8842884302139282,1.1270310878753662,0.399876981973648,2.352171322828967,0.8041532039642334,1.055575966835022,0.3755955696105957,2.2112507980421365,30,0.9975000023841858,0.9975000023841858,1.0007989406585691,1.4814903736114502,0.425986647605896,2.992882786908648,1.000592827796936,1.4180090427398682,0.4898229539394378,2.858187065573951,-100,0.0,0.0,0.11651051044464089,0.354459285736084,0.02610966563224798,0.6407114640796809,0.19643962383270264,0.3624330759048462,0.11422738432884211,0.6469362675318147,0.0
CSBM-H0.1,GraphSAGE,3,128,1,1,0,0.1,0.09996520727872849,19,0.9975000023841858,1.0,0.3263640999794006,0.5749949812889099,0.1338534504175186,1.3377478834054175,0.402138888835907,0.7125739455223083,0.0339144878089427,1.5715678934874502,17,1.0,1.0,1.0007426738739014,1.7926149368286133,0.0586452409625053,3.570572869200209,1.0005114078521729,1.7740881443023682,0.1652611494064331,3.553855208314891,-2,0.002499997615814209,0.0,0.6743785738945007,1.2176199555397034,-0.07520820945501329,2.2328249857947915,0.5983725190162659,1.0615141987800598,0.13134666159749042,1.982287314827441,0.2499997615814209
CSBM-H0.1,GraphSAGE,3,128,2,2,0,0.1,0.10044276714324951,19,1.0,1.0,0.2319798469543457,0.4078057408332824,0.1532581448554992,0.97615493491925,0.3498401045799255,0.6149459481239319,0.0347893610596656,1.3537231410566255,6,1.0,1.0,1.000717282295227,1.6006109714508057,0.4039613902568817,3.2621806182289084,0.9994882941246032,1.7755829095840454,0.1608777195215225,3.5678476135065726,-13,0.0,0.0,0.7687374353408813,1.1928052306175232,0.2507032454013825,2.286025683309658,0.6496481895446777,1.1606369614601135,0.1260883584618569,2.214124472449947,0.0
