target_homophily,architecture,num_layers,n,baseline_accuracy_mean_pct,baseline_accuracy_std_pct,pairnorm_accuracy_mean_pct,pairnorm_accuracy_std_pct,accuracy_delta_mean_pp,accuracy_delta_std_pp,accuracy_delta_ci95_pp,positive_seeds,negative_seeds,tie_seeds,paired_t_pvalue,wilcoxon_pvalue,final_pairwise_delta_mean,final_pairwise_delta_ci95,final_rank_ratio_delta_mean,final_rank_ratio_delta_ci95,best_pairwise_delta_mean,best_pairwise_delta_ci95,paired_t_pvalue_holm,wilcoxon_pvalue_holm,significant_t_holm_005,significant_wilcoxon_holm_005
0.1,GraphSAGE,5,5,99.85000014305116,0.223606584501919,100.0,0.0,0.1499998569488525,0.2236065845019189,0.2776442457373411,2,0,3,0.2079999999999998,0.5,0.4074541807174682,0.0399174869284834,0.0048427812755107,0.000783803443803,0.8509203791618347,0.1425078889249987,1.0,1.0,False,False
0.1,GraphSAGE,6,5,99.90000009536745,0.1369305087890576,100.0,0.0,0.0999999046325683,0.1369305087890576,0.1700216830190972,2,0,3,0.1778078083562212,0.5,0.3241510152816772,0.0319023888080274,0.0011870665475725,0.0011213169705072,0.8700303912162781,0.3008477169395027,1.0,1.0,False,False
0.1,GraphSAGE,7,5,99.90000009536745,0.1369305087890576,99.95000004768372,0.1118032922509594,0.0499999523162841,0.2091648071582241,0.2597124107396004,2,1,2,0.6213082950374971,1.0,0.2759140372276306,0.0202027558097857,0.0002281228080391,0.0009840611763369,0.7926390290260314,0.2716562840069836,1.0,1.0,False,False
0.1,GraphSAGE,8,5,80.0,27.386127875258303,100.0,0.0,20.0,27.386127875258307,34.00436903291285,2,0,3,0.1778078083562212,0.5,0.5746904015541077,0.4834933091838724,-0.0010437114164233,0.0022223910962916,0.9961030960083008,0.0096343895651588,1.0,1.0,False,False
0.5,GCN,2,5,59.949997663497925,1.2918022010318977,60.59999942779542,1.7553502228293087,0.6500017642974854,0.8767855239850398,1.088673019278449,4,1,0,0.172717887164781,0.25,0.0423526525497436,0.0055176335649353,-0.0213240802288055,0.0031282358647271,0.0289559364318848,0.0074028047392143,1.0,1.0,False,False
0.5,GCN,3,5,53.749998807907104,1.5811401494900887,51.19999885559082,1.1645803592537745,-2.549999952316284,2.3940035352084825,2.972548001240916,1,4,0,0.0758428682836569,0.125,0.7420819878578186,0.0613951529326652,0.2686837250366807,0.0210543468256458,0.881420373916626,0.1272348066219343,1.0,1.0,False,False
0.5,GCN,4,5,50.29999852180481,1.575198246006837,54.70000028610229,1.6046813983307526,4.400001764297485,2.484955206483764,3.0854794170398963,5,0,0,0.0166873135190309,0.0625,0.9986044406890868,0.0008119588091103,0.0798902343958616,0.012120226362068,0.9991539239883422,0.0007110889857986,0.4338701514948034,1.0,False,False
0.5,GCN,5,5,49.84999895095825,1.9413263385071664,52.44999825954437,3.134485835248493,2.5999993085861206,4.794527979752314,5.953192780839085,3,2,0,0.2920055963456517,0.4375,0.9987045764923096,0.0014311888052764,0.0380941655486822,0.0057999103498753,0.99914128780365,0.0007279672220451,1.0,1.0,False,False
0.5,GCN,6,5,50.49999773502349,2.200851532203677,54.85000014305115,2.440543148216756,4.350002408027649,3.223933087878477,4.003041647836605,5,0,0,0.0392753752809363,0.0625,0.9954521417617798,0.0053859091298657,0.0231957122683525,0.0046886449182837,0.9935102462768556,0.0066719547405245,0.9818843820234076,1.0,False,False
0.5,GCN,7,5,50.04999876022339,2.970688726928709,52.19999849796295,3.0072826344847314,2.149999737739563,3.44873199138842,4.282166353160583,4,1,0,0.2357659552444831,0.1875,0.9963173389434814,0.0046958703527195,0.0153419958427548,0.0037842574932147,0.994018268585205,0.0067024655841355,1.0,1.0,False,False
0.5,GCN,8,5,49.599997997283936,2.684444600225886,52.34999835491181,2.349202733038078,2.7500003576278687,3.7038826328375865,4.598977718766611,3,2,0,0.1722114991726223,0.3125,0.9952888011932371,0.0048969517237603,0.0147189842537045,0.0035588538101868,0.9931946635246276,0.0056898431245121,1.0,1.0,False,False
0.5,GraphSAGE,2,5,66.8999981880188,1.1805732307197605,66.74999833106995,1.6677095448556654,-0.1499998569488525,1.4747907554816215,1.8311945859652636,3,2,0,0.8312418384656703,1.0,0.1867639541625975,0.0130461611691692,0.0253018260002136,0.0040387095837016,0.0175124764442444,0.0018443382872193,1.0,1.0,False,False
0.5,GraphSAGE,3,5,65.74999809265137,2.5372226739717534,66.54999852180481,1.1645834301246347,0.8000004291534424,2.2803509299207354,2.8314296529530574,3,2,0,0.4766204609632705,0.625,0.5601930737495422,0.0990319473493408,0.2428271979093551,0.0415366964482159,0.9030232429504396,0.1722264780594791,1.0,1.0,False,False
0.5,GraphSAGE,4,5,67.04999804496765,2.996873446276529,65.54999947547913,2.8084691228269154,-1.4999985694885254,4.0466033373055925,5.024521678943566,1,4,0,0.4537738325679155,0.3125,0.2333962202072143,0.0796999866193691,0.0973483759909868,0.0123667653608916,0.85257887840271,0.1036602990638626,1.0,1.0,False,False
0.5,GraphSAGE,5,5,65.6499981880188,2.020210007431391,64.29999828338623,2.196586168819069,-1.3499999046325684,3.393927426732473,4.214117498290063,1,4,0,0.4240254016831686,0.4375,0.2483977556228637,0.1345035833586745,0.0174165276810526,0.0030467773525967,0.6291748404502868,0.2909716605733945,1.0,1.0,False,False
0.5,GraphSAGE,6,5,62.54999876022339,7.227118576099994,66.24999761581421,1.9202863516097064,3.69999885559082,7.732640710843498,9.601341581699153,3,2,0,0.3449141906822257,0.4375,0.5747551083564759,0.3522199408847887,0.0090712830424308,0.0041264346781625,0.8612448811531067,0.2580504219802535,1.0,1.0,False,False
0.5,GraphSAGE,7,5,50.39999961853028,0.8944263380076758,64.94999766349792,0.7984352096856866,14.549998044967651,1.3738618561853926,1.7058748053308026,5,0,0,1.8853264152892428e-05,0.0625,0.9990943431854248,0.00105627434472,-0.0050786754116415,0.034055414827808,0.9921926856040956,0.0087978331290578,0.000527891396280988,1.0,True,False
