dataset,model,depth,graph_seed,init_seed,split_idx,best_epoch,best_val,test_best,data_path
RW-Roman-empire-H0.1-LOW,GraphSAGE,8,1,11,0,1887,0.5648720264434814,0.545397937297821,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h01_seed1.pt
RW-Roman-empire-H0.1-LOW,GraphSAGE,8,1,29,0,1095,0.4646955132484436,0.4275034964084625,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h01_seed1.pt
RW-Roman-empire-H0.1-LOW,GraphSAGE,8,1,47,0,2061,0.5392762422561646,0.5190261006355286,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h01_seed1.pt
RW-Roman-empire-H0.1-LOW,GraphSAGE,8,1,65,0,1174,0.4302736222743988,0.4309297502040863,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h01_seed1.pt
RW-Roman-empire-H0.1-LOW,GraphSAGE,8,1,83,0,1787,0.5291262269020081,0.5125889182090759,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h01_seed1.pt
RW-Roman-empire-H0.5-LOW,GraphSAGEPairNorm,7,1,11,0,622,0.8071491718292236,0.7803561091423035,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h05_seed1.pt
RW-Roman-empire-H0.5-LOW,GraphSAGEPairNorm,7,1,29,0,630,0.8027361035346985,0.7839381098747253,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h05_seed1.pt
RW-Roman-empire-H0.5-LOW,GraphSAGEPairNorm,7,1,47,0,1410,0.8124448657035828,0.7913097739219666,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h05_seed1.pt
RW-Roman-empire-H0.5-LOW,GraphSAGEPairNorm,7,1,65,0,971,0.8097969889640808,0.7877277731895447,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h05_seed1.pt
RW-Roman-empire-H0.5-LOW,GraphSAGEPairNorm,7,1,83,0,1149,0.8058252334594727,0.7848725318908691,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h05_seed1.pt
RW-Roman-empire-H0.5-LOW,GraphSAGEPairNorm,8,1,11,0,2148,0.8150926828384399,0.7944245338439941,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h05_seed1.pt
RW-Roman-empire-H0.5-LOW,GraphSAGEPairNorm,8,1,29,0,1851,0.8168579339981079,0.8024710416793823,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h05_seed1.pt
RW-Roman-empire-H0.5-LOW,GraphSAGEPairNorm,8,1,47,0,1677,0.8177404999732971,0.7988371253013611,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h05_seed1.pt
RW-Roman-empire-H0.5-LOW,GraphSAGEPairNorm,8,1,65,0,826,0.8164166212081909,0.7953070402145386,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h05_seed1.pt
RW-Roman-empire-H0.5-LOW,GraphSAGEPairNorm,8,1,83,0,1230,0.813327431678772,0.792192280292511,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h05_seed1.pt
RW-Roman-empire-H0.5-LOW,GraphSAGE,7,1,11,0,2165,0.7930273413658142,0.7816020250320435,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h05_seed1.pt
RW-Roman-empire-H0.5-LOW,GraphSAGE,7,1,29,0,1817,0.8093556761741638,0.7984737753868103,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h05_seed1.pt
RW-Roman-empire-H0.5-LOW,GraphSAGE,7,1,47,0,2326,0.7731685638427734,0.7660800218582153,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h05_seed1.pt
RW-Roman-empire-H0.5-LOW,GraphSAGE,7,1,65,0,2351,0.7488967180252075,0.7423558235168457,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h05_seed1.pt
RW-Roman-empire-H0.5-LOW,GraphSAGE,7,1,83,0,2270,0.6968225836753845,0.6767377853393555,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h05_seed1.pt
RW-Roman-empire-H0.5-LOW,GraphSAGE,8,1,11,0,1256,0.7643424868583679,0.7517520785331726,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h05_seed1.pt
RW-Roman-empire-H0.5-LOW,GraphSAGE,8,1,29,0,2172,0.790379524230957,0.783886194229126,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h05_seed1.pt
RW-Roman-empire-H0.5-LOW,GraphSAGE,8,1,47,0,1918,0.7555163502693176,0.7454705834388733,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h05_seed1.pt
RW-Roman-empire-H0.5-LOW,GraphSAGE,8,1,65,0,2287,0.7427184581756592,0.7263665795326233,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h05_seed1.pt
RW-Roman-empire-H0.5-LOW,GraphSAGE,8,1,83,0,2394,0.7603707313537598,0.739760160446167,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h05_seed1.pt
RW-Roman-empire-H0.9-LOW,GraphSAGEPairNorm,7,1,11,0,1423,0.9845542907714844,0.9811036586761475,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h09_seed1.pt
RW-Roman-empire-H0.9-LOW,GraphSAGEPairNorm,7,1,29,0,1861,0.9792585968971252,0.9788194894790649,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h09_seed1.pt
RW-Roman-empire-H0.9-LOW,GraphSAGEPairNorm,7,1,47,0,1953,0.9823477864265442,0.9820380806922913,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h09_seed1.pt
RW-Roman-empire-H0.9-LOW,GraphSAGEPairNorm,7,1,65,0,2083,0.9827890396118164,0.9806364178657532,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h09_seed1.pt
RW-Roman-empire-H0.9-LOW,GraphSAGEPairNorm,7,1,83,0,1587,0.9805825352668762,0.9786637425422668,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h09_seed1.pt
RW-Roman-empire-H0.9-LOW,GraphSAGEPairNorm,8,1,11,0,2046,0.9854369163513184,0.982712984085083,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h09_seed1.pt
RW-Roman-empire-H0.9-LOW,GraphSAGEPairNorm,8,1,29,0,1238,0.9858782291412354,0.9845299124717712,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h09_seed1.pt
RW-Roman-empire-H0.9-LOW,GraphSAGEPairNorm,8,1,47,0,429,0.9841129779815674,0.9779369831085205,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h09_seed1.pt
RW-Roman-empire-H0.9-LOW,GraphSAGEPairNorm,8,1,65,0,2217,0.9863195419311523,0.9844779968261719,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h09_seed1.pt
RW-Roman-empire-H0.9-LOW,GraphSAGEPairNorm,8,1,83,0,1990,0.9845542907714844,0.9843222498893738,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h09_seed1.pt
RW-Roman-empire-H0.9-LOW,GraphSAGE,7,1,11,0,2309,0.9819064736366272,0.9819861650466919,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h09_seed1.pt
RW-Roman-empire-H0.9-LOW,GraphSAGE,7,1,29,0,1110,0.9889673590660095,0.9855681657791138,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h09_seed1.pt
RW-Roman-empire-H0.9-LOW,GraphSAGE,7,1,47,0,1957,0.9885260462760925,0.9874889850616455,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h09_seed1.pt
RW-Roman-empire-H0.9-LOW,GraphSAGE,7,1,65,0,2400,0.9880847334861755,0.9844779968261719,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h09_seed1.pt
RW-Roman-empire-H0.9-LOW,GraphSAGE,7,1,83,0,2170,0.9907325506210327,0.9882676601409912,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h09_seed1.pt
RW-Roman-empire-H0.9-LOW,GraphSAGE,8,1,11,0,2346,0.9885260462760925,0.9865545034408569,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h09_seed1.pt
RW-Roman-empire-H0.9-LOW,GraphSAGE,8,1,29,0,1475,0.9898499846458435,0.9875928163528442,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h09_seed1.pt
