dataset_name,h,graph_seed,init_seed,gs_L7,gs_L8,pn_L7,pn_L8,gs_depth_change,pn_depth_change,interaction,pn_L8_effect
PubMed,0.5,2,11,0.399367481470108,0.399367481470108,0.7743898630142212,0.7782683968544006,0.0,0.0038785338401794434,0.0038785338401794434,0.37890091538429266
PubMed,0.5,2,29,0.399367481470108,0.399367481470108,0.7841756343841553,0.7805358171463013,0.0,-0.003639817237854004,-0.003639817237854004,0.3811683356761933
PubMed,0.5,2,47,0.399367481470108,0.399367481470108,0.7826839089393616,0.7785667181015015,0.0,-0.004117190837860107,-0.004117190837860107,0.3791992366313935
PubMed,0.5,2,65,0.7304134964942932,0.399367481470108,0.786920428276062,0.7767766118049622,-0.33104601502418524,-0.010143816471099854,0.3209021985530854,0.3774091303348542
PubMed,0.5,2,83,0.7833999395370483,0.399367481470108,0.7866221070289612,0.7839966416358948,-0.38403245806694036,-0.0026254653930664062,0.38140699267387396,0.3846291601657868
PubMed,0.5,3,11,0.7413926720619202,0.399367481470108,0.7846530079841614,0.7748075723648071,-0.3420251905918122,-0.009845435619354248,0.33217975497245794,0.37544009089469915
PubMed,0.5,3,29,0.399367481470108,0.399367481470108,0.7785667181015015,0.7760605812072754,0.0,-0.0025061368942260742,-0.0025061368942260742,0.3766930997371674
PubMed,0.5,3,47,0.399367481470108,0.399367481470108,0.7847126722335815,0.7814905047416687,0.0,-0.003222167491912842,-0.003222167491912842,0.3821230232715607
PubMed,0.5,3,65,0.7786263823509216,0.399367481470108,0.7777910232543945,0.7782087326049805,-0.37925890088081365,0.0004177093505859375,0.3796766102313996,0.3788412511348725
PubMed,0.5,3,83,0.399367481470108,0.399367481470108,0.7833402752876282,0.7795214056968689,0.0,-0.0038188695907592773,-0.0038188695907592773,0.3801539242267609
PubMed,0.5,4,11,0.399367481470108,0.399367481470108,0.7883524894714355,0.7880541682243347,0.0,-0.0002983212471008301,-0.0002983212471008301,0.38868668675422674
PubMed,0.5,4,29,0.399367481470108,0.399367481470108,0.7909182906150818,0.7885315418243408,0.0,-0.002386748790740967,-0.002386748790740967,0.38916406035423284
PubMed,0.5,4,47,0.399367481470108,0.399367481470108,0.7827435731887817,0.7900232672691345,0.0,0.007279694080352783,0.007279694080352783,0.39065578579902654
PubMed,0.5,4,65,0.7761799693107605,0.399367481470108,0.7851303815841675,0.7857270240783691,-0.3768124878406525,0.0005966424942016602,0.3774091303348542,0.38635954260826116
PubMed,0.5,4,83,0.7798197865486145,0.399367481470108,0.785309374332428,0.790202260017395,-0.3804523050785065,0.004892885684967041,0.38534519076347357,0.39083477854728704
PubMed,0.5,5,11,0.7495673894882202,0.399367481470108,0.7766572833061218,0.783638596534729,-0.35019990801811224,0.006981313228607178,0.3571812212467194,0.384271115064621
PubMed,0.5,5,29,0.399367481470108,0.399367481470108,0.7822065353393555,0.7798197865486145,0.0,-0.002386748790740967,-0.002386748790740967,0.3804523050785065
PubMed,0.5,5,47,0.399367481470108,0.399367481470108,0.7897248864173889,0.7811325192451477,0.0,-0.008592367172241211,-0.008592367172241211,0.38176503777503973
PubMed,0.5,5,65,0.7715854048728943,0.399367481470108,0.7774926424026489,0.7833999395370483,-0.3722179234027863,0.005907297134399414,0.3781252205371857,0.38403245806694036
PubMed,0.5,5,83,0.399367481470108,0.399367481470108,0.7880541682243347,0.7855480313301086,0.0,-0.0025061368942260742,-0.0025061368942260742,0.38618054986000067
