run,dataset,model,depth,seed,best_epoch_1800,best_epoch_2000,best_epoch_2200,best_epoch_2400,best_val_1800,best_val_2000,best_val_2200,best_val_2400,gain_val_1800_2000,gain_val_2000_2200,gain_val_2200_2400,gain_val_2000_2400,test_best_2000,test_best_2400,gain_test_2000_2400,last100_val_slope
RW-PubMed-H0.1-LOW_GraphSAGE_L8_H128_seed1_split0,RW-PubMed-H0.1-LOW,GraphSAGE,8,1,2,2,2,2,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.0,0.0,0.0,0.0,0.399367481470108,0.399367481470108,0.0,-1.6656834693632173e-05
RW-PubMed-H0.1-LOW_GraphSAGE_L8_H128_seed2_split0,RW-PubMed-H0.1-LOW,GraphSAGE,8,2,2,2,2,2,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.0,0.0,0.0,0.0,0.399367481470108,0.399367481470108,0.0,1.0309345257951239e-05
RW-PubMed-H0.1-LOW_GraphSAGE_L8_H128_seed3_split0,RW-PubMed-H0.1-LOW,GraphSAGE,8,3,1,1,1,1,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.0,0.0,0.0,0.0,0.399367481470108,0.399367481470108,0.0,2.5986366146069644e-06
RW-PubMed-H0.1-LOW_GraphSAGE_L8_H128_seed4_split0,RW-PubMed-H0.1-LOW,GraphSAGE,8,4,1,1,1,1,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.0,0.0,0.0,0.0,0.399367481470108,0.399367481470108,0.0,-6.905185922255849e-19
RW-PubMed-H0.1-LOW_GraphSAGE_L8_H128_seed5_split0,RW-PubMed-H0.1-LOW,GraphSAGE,8,5,1,1,1,1,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.0,0.0,0.0,0.0,0.399367481470108,0.399367481470108,0.0,6.475291236398481e-06
RW-PubMed-H0.1-LOW_GraphSAGE_L9_H128_seed1_split0,RW-PubMed-H0.1-LOW,GraphSAGE,9,1,2,2,2,2,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.0,0.0,0.0,0.0,0.399367481470108,0.399367481470108,0.0,-6.905185922255849e-19
RW-PubMed-H0.1-LOW_GraphSAGE_L9_H128_seed2_split0,RW-PubMed-H0.1-LOW,GraphSAGE,9,2,2,2,2,2,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.0,0.0,0.0,0.0,0.399367481470108,0.399367481470108,0.0,-6.905185922255849e-19
RW-PubMed-H0.1-LOW_GraphSAGE_L9_H128_seed3_split0,RW-PubMed-H0.1-LOW,GraphSAGE,9,3,1,1,1,1,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.0,0.0,0.0,0.0,0.399367481470108,0.399367481470108,0.0,-6.905185922255849e-19
RW-PubMed-H0.1-LOW_GraphSAGE_L9_H128_seed4_split0,RW-PubMed-H0.1-LOW,GraphSAGE,9,4,2,2,2,2,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.0,0.0,0.0,0.0,0.399367481470108,0.399367481470108,0.0,1.0820552460824392e-05
RW-PubMed-H0.1-LOW_GraphSAGE_L9_H128_seed5_split0,RW-PubMed-H0.1-LOW,GraphSAGE,9,5,1,1,1,1,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.0,0.0,0.0,0.0,0.399367481470108,0.399367481470108,0.0,-6.905185922255849e-19
RW-PubMed-H0.5-LOW_GCNPairNorm_L2_H128_seed1_split0,RW-PubMed-H0.5-LOW,GCNPairNorm,2,1,20,20,20,20,0.703853964805603,0.703853964805603,0.703853964805603,0.703853964805603,0.0,0.0,0.0,0.0,0.6960439085960388,0.6960439085960388,0.0,-1.2399838774047779e-05
RW-PubMed-H0.5-LOW_GCNPairNorm_L2_H128_seed2_split0,RW-PubMed-H0.5-LOW,GCNPairNorm,2,2,31,31,31,31,0.680020272731781,0.680020272731781,0.680020272731781,0.680020272731781,0.0,0.0,0.0,0.0,0.6841099858283997,0.6841099858283997,0.0,9.612534949630477e-06
RW-PubMed-H0.5-LOW_GCNPairNorm_L2_H128_seed3_split0,RW-PubMed-H0.5-LOW,GCNPairNorm,2,3,19,19,19,19,0.7053752541542053,0.7053752541542053,0.7053752541542053,0.7053752541542053,0.0,0.0,0.0,0.0,0.6918670535087585,0.6918670535087585,0.0,-3.365471740046535e-06
RW-PubMed-H0.5-LOW_GCNPairNorm_L2_H128_seed4_split0,RW-PubMed-H0.5-LOW,GCNPairNorm,2,4,17,17,17,17,0.7043610215187073,0.7043610215187073,0.7043610215187073,0.7043610215187073,0.0,0.0,0.0,0.0,0.6961632370948792,0.6961632370948792,0.0,-1.9511078128650783e-05
RW-PubMed-H0.5-LOW_GCNPairNorm_L2_H128_seed5_split0,RW-PubMed-H0.5-LOW,GCNPairNorm,2,5,18,18,18,18,0.7175456285476685,0.7175456285476685,0.7175456285476685,0.7175456285476685,0.0,0.0,0.0,0.0,0.7033832669258118,0.7033832669258118,0.0,1.2661547336068896e-05
RW-PubMed-H0.5-LOW_GCNPairNorm_L4_H128_seed1_split0,RW-PubMed-H0.5-LOW,GCNPairNorm,4,1,10,10,10,10,0.6526368856430054,0.6526368856430054,0.6526368856430054,0.6526368856430054,0.0,0.0,0.0,0.0,0.6315412521362305,0.6315412521362305,0.0,1.475513213896106e-05
RW-PubMed-H0.5-LOW_GCNPairNorm_L4_H128_seed2_split0,RW-PubMed-H0.5-LOW,GCNPairNorm,4,2,10,10,10,10,0.6196754574775696,0.6196754574775696,0.6196754574775696,0.6196754574775696,0.0,0.0,0.0,0.0,0.6277820467948914,0.6277820467948914,0.0,9.80513821197566e-05
