dataset,model,depth,seed,best_epoch,best_val,test_best,target_h,realized_h
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,2,1,2213,0.7860040664672852,0.7612625956535339,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,2,2,713,0.7799188494682312,0.771048367023468,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,2,3,997,0.7783975601196289,0.7711676955223083,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,2,4,1032,0.7829614281654358,0.7797004580497742,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,2,5,1536,0.7789046764373779,0.7772539854049683,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,4,1,1740,0.790060818195343,0.7631720304489136,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,4,2,1493,0.7885395288467407,0.7700340151786804,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,4,3,2383,0.7718052268028259,0.7675875425338745,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,4,4,1867,0.7910750508308411,0.7801777720451355,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,4,5,940,0.7819472551345825,0.7668118476867676,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,7,1,672,0.796653151512146,0.772301435470581,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,7,2,2076,0.7971602082252502,0.7868607640266418,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,7,3,737,0.7860040664672852,0.7712273597717285,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,7,4,1647,0.796653151512146,0.781609833240509,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,7,5,2077,0.7829614281654358,0.7843546271324158,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,8,1,1060,0.796653151512146,0.7748672366142273,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,8,2,1911,0.7920892238616943,0.7766572833061218,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,8,3,1991,0.7839756608009338,0.7768363356590271,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,8,4,2020,0.7971602082252502,0.7890685200691223,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,8,5,2379,0.7814401388168335,0.7871591448783875,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGE,2,1,2332,0.8225151896476746,0.8085207939147949,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGE,2,2,1438,0.818965494632721,0.8070290684700012,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGE,2,3,1126,0.812880277633667,0.8067903518676758,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGE,2,4,1374,0.8113589882850647,0.8107285499572754,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGE,2,5,2286,0.8169370889663696,0.8218270540237427,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGE,4,1,298,0.8199796676635742,0.7980189323425293,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGE,4,2,1646,0.8179513216018677,0.8078047633171082,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGE,4,3,913,0.8093305826187134,0.8002864122390747,0.5,0.5000225901603699
