experiment_id,dataset,model,num_layers,hidden_channels,seed,split_idx
82,Amazon-Ratings,GraphSAGE,2,64,1,2
83,Amazon-Ratings,GraphSAGE,2,64,1,3
84,Amazon-Ratings,GraphSAGE,2,64,1,4
85,Amazon-Ratings,GraphSAGE,2,64,1,5
86,Amazon-Ratings,GraphSAGE,2,64,1,6
87,Amazon-Ratings,GraphSAGE,2,64,1,7
88,Amazon-Ratings,GraphSAGE,2,64,1,8
89,Amazon-Ratings,GraphSAGE,2,64,1,9
90,Amazon-Ratings,GraphSAGE,2,128,1,0
91,Amazon-Ratings,GraphSAGE,2,128,1,1
92,Amazon-Ratings,GraphSAGE,2,128,1,2
93,Amazon-Ratings,GraphSAGE,2,128,1,3
94,Amazon-Ratings,GraphSAGE,2,128,1,4
95,Amazon-Ratings,GraphSAGE,2,128,1,5
96,Amazon-Ratings,GraphSAGE,2,128,1,6
97,Amazon-Ratings,GraphSAGE,2,128,1,7
98,Amazon-Ratings,GraphSAGE,2,128,1,8
99,Amazon-Ratings,GraphSAGE,2,128,1,9
100,Amazon-Ratings,GraphSAGE,4,64,1,0
101,Amazon-Ratings,GraphSAGE,4,64,1,1
102,Amazon-Ratings,GraphSAGE,4,64,1,2
103,Amazon-Ratings,GraphSAGE,4,64,1,3
104,Amazon-Ratings,GraphSAGE,4,64,1,4
105,Amazon-Ratings,GraphSAGE,4,64,1,5
106,Amazon-Ratings,GraphSAGE,4,64,1,6
107,Amazon-Ratings,GraphSAGE,4,64,1,7
108,Amazon-Ratings,GraphSAGE,4,64,1,8
109,Amazon-Ratings,GraphSAGE,4,64,1,9
110,Amazon-Ratings,GraphSAGE,4,128,1,0
111,Amazon-Ratings,GraphSAGE,4,128,1,1
112,Amazon-Ratings,GraphSAGE,4,128,1,2
113,Amazon-Ratings,GraphSAGE,4,128,1,3
114,Amazon-Ratings,GraphSAGE,4,128,1,4
115,Amazon-Ratings,GraphSAGE,4,128,1,5
116,Amazon-Ratings,GraphSAGE,4,128,1,6
117,Amazon-Ratings,GraphSAGE,4,128,1,7
118,Amazon-Ratings,GraphSAGE,4,128,1,8
119,Amazon-Ratings,GraphSAGE,4,128,1,9
120,Amazon-Ratings,GCNPairNorm,2,64,1,0
121,Amazon-Ratings,GCNPairNorm,2,64,1,1
122,Amazon-Ratings,GCNPairNorm,2,64,1,2
123,Amazon-Ratings,GCNPairNorm,2,64,1,3
124,Amazon-Ratings,GCNPairNorm,2,64,1,4
125,Amazon-Ratings,GCNPairNorm,2,64,1,5
126,Amazon-Ratings,GCNPairNorm,2,64,1,6
127,Amazon-Ratings,GCNPairNorm,2,64,1,7
128,Amazon-Ratings,GCNPairNorm,2,64,1,8
129,Amazon-Ratings,GCNPairNorm,2,64,1,9
130,Amazon-Ratings,GCNPairNorm,2,128,1,0
131,Amazon-Ratings,GCNPairNorm,2,128,1,1
132,Amazon-Ratings,GCNPairNorm,2,128,1,2
133,Amazon-Ratings,GCNPairNorm,2,128,1,3
134,Amazon-Ratings,GCNPairNorm,2,128,1,4
135,Amazon-Ratings,GCNPairNorm,2,128,1,5
136,Amazon-Ratings,GCNPairNorm,2,128,1,6
137,Amazon-Ratings,GCNPairNorm,2,128,1,7
138,Amazon-Ratings,GCNPairNorm,2,128,1,8
139,Amazon-Ratings,GCNPairNorm,2,128,1,9
140,Amazon-Ratings,GCNPairNorm,4,64,1,0
141,Amazon-Ratings,GCNPairNorm,4,64,1,1
142,Amazon-Ratings,GCNPairNorm,4,64,1,2
143,Amazon-Ratings,GCNPairNorm,4,64,1,3
144,Amazon-Ratings,GCNPairNorm,4,64,1,4
145,Amazon-Ratings,GCNPairNorm,4,64,1,5
146,Amazon-Ratings,GCNPairNorm,4,64,1,6
147,Amazon-Ratings,GCNPairNorm,4,64,1,7
148,Amazon-Ratings,GCNPairNorm,4,64,1,8
149,Amazon-Ratings,GCNPairNorm,4,64,1,9
150,Amazon-Ratings,GCNPairNorm,4,128,1,0
151,Amazon-Ratings,GCNPairNorm,4,128,1,1
152,Amazon-Ratings,GCNPairNorm,4,128,1,2
153,Amazon-Ratings,GCNPairNorm,4,128,1,3
154,Amazon-Ratings,GCNPairNorm,4,128,1,4
155,Amazon-Ratings,GCNPairNorm,4,128,1,5
156,Amazon-Ratings,GCNPairNorm,4,128,1,6
157,Amazon-Ratings,GCNPairNorm,4,128,1,7
158,Amazon-Ratings,GCNPairNorm,4,128,1,8
159,Amazon-Ratings,GCNPairNorm,4,128,1,9
160,Amazon-Ratings,GATPairNorm,2,64,1,0
161,Amazon-Ratings,GATPairNorm,2,64,1,1
162,Amazon-Ratings,GATPairNorm,2,64,1,2
163,Amazon-Ratings,GATPairNorm,2,64,1,3
164,Amazon-Ratings,GATPairNorm,2,64,1,4
165,Amazon-Ratings,GATPairNorm,2,64,1,5
166,Amazon-Ratings,GATPairNorm,2,64,1,6
167,Amazon-Ratings,GATPairNorm,2,64,1,7
168,Amazon-Ratings,GATPairNorm,2,64,1,8
169,Amazon-Ratings,GATPairNorm,2,64,1,9
170,Amazon-Ratings,GATPairNorm,2,128,1,0
171,Amazon-Ratings,GATPairNorm,2,128,1,1
172,Amazon-Ratings,GATPairNorm,2,128,1,2
173,Amazon-Ratings,GATPairNorm,2,128,1,3
174,Amazon-Ratings,GATPairNorm,2,128,1,4
175,Amazon-Ratings,GATPairNorm,2,128,1,5
176,Amazon-Ratings,GATPairNorm,2,128,1,6
177,Amazon-Ratings,GATPairNorm,2,128,1,7
178,Amazon-Ratings,GATPairNorm,2,128,1,8
179,Amazon-Ratings,GATPairNorm,2,128,1,9
180,Amazon-Ratings,GATPairNorm,4,64,1,0
181,Amazon-Ratings,GATPairNorm,4,64,1,1
182,Amazon-Ratings,GATPairNorm,4,64,1,2
183,Amazon-Ratings,GATPairNorm,4,64,1,3
184,Amazon-Ratings,GATPairNorm,4,64,1,4
185,Amazon-Ratings,GATPairNorm,4,64,1,5
186,Amazon-Ratings,GATPairNorm,4,64,1,6
187,Amazon-Ratings,GATPairNorm,4,64,1,7
188,Amazon-Ratings,GATPairNorm,4,64,1,8
189,Amazon-Ratings,GATPairNorm,4,64,1,9
190,Amazon-Ratings,GATPairNorm,4,128,1,0
191,Amazon-Ratings,GATPairNorm,4,128,1,1
192,Amazon-Ratings,GATPairNorm,4,128,1,2
193,Amazon-Ratings,GATPairNorm,4,128,1,3
194,Amazon-Ratings,GATPairNorm,4,128,1,4
195,Amazon-Ratings,GATPairNorm,4,128,1,5
196,Amazon-Ratings,GATPairNorm,4,128,1,6
197,Amazon-Ratings,GATPairNorm,4,128,1,7
198,Amazon-Ratings,GATPairNorm,4,128,1,8
199,Amazon-Ratings,GATPairNorm,4,128,1,9
200,Amazon-Ratings,GraphSAGEPairNorm,2,64,1,0
201,Amazon-Ratings,GraphSAGEPairNorm,2,64,1,1
202,Amazon-Ratings,GraphSAGEPairNorm,2,64,1,2
203,Amazon-Ratings,GraphSAGEPairNorm,2,64,1,3
204,Amazon-Ratings,GraphSAGEPairNorm,2,64,1,4
205,Amazon-Ratings,GraphSAGEPairNorm,2,64,1,5
206,Amazon-Ratings,GraphSAGEPairNorm,2,64,1,6
207,Amazon-Ratings,GraphSAGEPairNorm,2,64,1,7
208,Amazon-Ratings,GraphSAGEPairNorm,2,64,1,8
209,Amazon-Ratings,GraphSAGEPairNorm,2,64,1,9
210,Amazon-Ratings,GraphSAGEPairNorm,2,128,1,0
211,Amazon-Ratings,GraphSAGEPairNorm,2,128,1,1
212,Amazon-Ratings,GraphSAGEPairNorm,2,128,1,2
213,Amazon-Ratings,GraphSAGEPairNorm,2,128,1,3
214,Amazon-Ratings,GraphSAGEPairNorm,2,128,1,4
215,Amazon-Ratings,GraphSAGEPairNorm,2,128,1,5
216,Amazon-Ratings,GraphSAGEPairNorm,2,128,1,6
217,Amazon-Ratings,GraphSAGEPairNorm,2,128,1,7
218,Amazon-Ratings,GraphSAGEPairNorm,2,128,1,8
219,Amazon-Ratings,GraphSAGEPairNorm,2,128,1,9
220,Amazon-Ratings,GraphSAGEPairNorm,4,64,1,0
221,Amazon-Ratings,GraphSAGEPairNorm,4,64,1,1
222,Amazon-Ratings,GraphSAGEPairNorm,4,64,1,2
223,Amazon-Ratings,GraphSAGEPairNorm,4,64,1,3
224,Amazon-Ratings,GraphSAGEPairNorm,4,64,1,4
225,Amazon-Ratings,GraphSAGEPairNorm,4,64,1,5
226,Amazon-Ratings,GraphSAGEPairNorm,4,64,1,6
227,Amazon-Ratings,GraphSAGEPairNorm,4,64,1,7
228,Amazon-Ratings,GraphSAGEPairNorm,4,64,1,8
229,Amazon-Ratings,GraphSAGEPairNorm,4,64,1,9
230,Amazon-Ratings,GraphSAGEPairNorm,4,128,1,0
231,Amazon-Ratings,GraphSAGEPairNorm,4,128,1,1
232,Amazon-Ratings,GraphSAGEPairNorm,4,128,1,2
233,Amazon-Ratings,GraphSAGEPairNorm,4,128,1,3
234,Amazon-Ratings,GraphSAGEPairNorm,4,128,1,4
235,Amazon-Ratings,GraphSAGEPairNorm,4,128,1,5
236,Amazon-Ratings,GraphSAGEPairNorm,4,128,1,6
237,Amazon-Ratings,GraphSAGEPairNorm,4,128,1,7
238,Amazon-Ratings,GraphSAGEPairNorm,4,128,1,8
239,Amazon-Ratings,GraphSAGEPairNorm,4,128,1,9
