dataset,model,uses_pairnorm,num_layers,hidden_channels,seed,graph_seed,split_idx,target_homophily,realized_homophily,feature_signal,best_epoch,nearest_best_metric_epoch,final_metric_epoch,best_train_acc,best_val_acc,best_test_acc,best_pairwise_distance,best_edge_distance,best_rank_ratio,best_normalized_dirichlet,final_pairwise_distance,final_edge_distance,final_rank_ratio,final_normalized_dirichlet
CSBM-H0.1-FS0.25-TR0.05,GraphSAGE,False,8,128,5,5,0,0.1,0.10260676592588425,0.25,1,1,200,0.5,0.5,0.4999999701976776,6.055831909179688e-05,5.851946843904443e-05,0.3093180060386657,0.0001459328880751,0.0,2.506442386973617e-09,0.01811458542943,1.2592344310947876e-15
CSBM-H0.1-FS0.25-TR0.05,GraphSAGEPairNorm,True,2,128,5,5,0,0.1,0.10260676592588425,0.25,116,100,200,1.0,0.699999988079071,0.6970587968826294,1.0006229877471924,1.0275802612304688,0.4516229927539825,2.040901004172808,1.0004278421401978,1.0264906883239746,0.4333823621273041,2.0414619890639663
CSBM-H0.1-FS0.25-TR0.05,GraphSAGEPairNorm,True,7,128,5,5,0,0.1,0.10260676592588425,0.25,5,4,200,1.0,1.0,0.9988234639167786,0.9966971278190612,1.3734030723571775,0.5733394622802734,2.798739059067594,0.9964419007301332,1.716439723968506,0.0228261239826679,3.4554794255179013
CSBM-H0.1-FS0.25-TR0.05,GraphSAGEPairNorm,True,8,128,5,5,0,0.1,0.10260676592588425,0.25,5,4,200,0.9899999499320984,1.0,0.9999999403953552,0.9976754188537598,1.4495872259140017,0.564339280128479,2.953491504894878,0.9961069226264954,1.6154813766479492,0.0240751355886459,3.3692360017419327
CSBM-H0.1-FS0.50-TR0.05,GraphSAGE,False,2,128,1,1,0,0.1,0.09996520727872849,0.5,11,8,200,1.0,0.73499995470047,0.7288234829902649,0.986805260181427,1.0080701112747192,0.6255274415016174,2.014389009809785,0.9776878952980042,0.9935054779052734,0.411416083574295,1.9960968250055997
CSBM-H0.1-FS0.50-TR0.05,GraphSAGE,False,7,128,1,1,0,0.1,0.09996520727872849,0.5,8,8,200,1.0,1.0,0.9994117021560669,0.1615556478500366,0.2882365882396698,0.0231033749878406,0.609830209809198,0.6598886251449585,1.1898730993270874,0.0124413501471281,2.4065371531745714
CSBM-H0.1-FS0.50-TR0.05,GraphSAGE,False,8,128,1,1,0,0.1,0.09996520727872849,0.5,1,1,200,0.5,0.5,0.4999999701976776,7.420778274536133e-05,7.272926450241357e-05,0.3409875333309173,0.0001722678420636,0.0,3.5359239092258576e-08,0.0367321595549583,7.958556958617323e-16
CSBM-H0.1-FS0.50-TR0.05,GraphSAGEPairNorm,True,2,128,1,1,0,0.1,0.09996520727872849,0.5,95,100,200,1.0,0.8349999785423279,0.835882306098938,1.000686526298523,1.0947474241256714,0.4713466465473175,2.2063202762705383,1.0006707906723022,1.070628046989441,0.4269301891326904,2.1499642162939216
CSBM-H0.1-FS0.50-TR0.05,GraphSAGEPairNorm,True,7,128,1,1,0,0.1,0.09996520727872849,0.5,3,2,200,0.9899999499320984,1.0,0.99647057056427,0.9986112117767334,1.0618784427642822,0.7212074398994446,2.102898363432524,0.9983365535736084,1.71589457988739,0.0214556343853473,3.4819591203693907
CSBM-H0.1-FS0.50-TR0.05,GraphSAGEPairNorm,True,8,128,1,1,0,0.1,0.09996520727872849,0.5,4,4,200,1.0,1.0,0.99647057056427,1.0002177953720093,1.5480211973190308,0.5426936149597168,3.126742985395202,0.9921980500221252,1.6221836805343628,0.0209312699735164,3.3768818677159325
CSBM-H0.1-FS0.50-TR0.05,GraphSAGE,False,2,128,2,2,0,0.1,0.10044276714324951,0.5,26,32,200,1.0,0.7949999570846558,0.7376470565795898,0.9896594285964966,1.021652102470398,0.5650614500045776,2.0516777494486638,0.9833384156227112,1.0059137344360352,0.4292722344398498,2.0201853213655627
CSBM-H0.1-FS0.50-TR0.05,GraphSAGE,False,7,128,2,2,0,0.1,0.10044276714324951,0.5,79,100,200,1.0,1.0,0.9935293793678284,0.6310648322105408,1.1369260549545288,0.0152902398258447,2.27433292527092,0.6863800287246704,1.231761813163757,0.0147377699613571,2.456665049271132
CSBM-H0.1-FS0.50-TR0.05,GraphSAGE,False,8,128,2,2,0,0.1,0.10044276714324951,0.5,1,1,200,0.5,0.5,0.4999999701976776,6.842613220214844e-05,6.628399569308385e-05,0.336415946483612,0.0001796903803743,1.1920928955078125e-07,0.0,0.0099586099386215,1.4748913668265386e-17
CSBM-H0.1-FS0.50-TR0.05,GraphSAGEPairNorm,True,2,128,2,2,0,0.1,0.10044276714324951,0.5,96,100,200,1.0,0.9049999713897705,0.8882352709770203,1.0004539489746094,1.1207505464553833,0.4793650209903717,2.286394495947647,1.000162959098816,1.0982813835144043,0.4446960687637329,2.2322059338409037
CSBM-H0.1-FS0.50-TR0.05,GraphSAGEPairNorm,True,7,128,2,2,0,0.1,0.10044276714324951,0.5,3,2,200,1.0,1.0,0.9999999403953552,0.9989815950393676,1.114302635192871,0.7249535918235779,2.209496021691336,0.990096151828766,1.634117603302002,0.0242641270160675,3.353135261597151
CSBM-H0.1-FS0.50-TR0.05,GraphSAGEPairNorm,True,8,128,2,2,0,0.1,0.10044276714324951,0.5,4,4,200,1.0,1.0,0.9999999403953552,1.0001789331436155,1.7411936521530151,0.290923148393631,3.514554956495886,0.9955210089683532,1.6981244087219238,0.0188623424619436,3.4907258198390045
CSBM-H0.1-FS0.50-TR0.05,GraphSAGE,False,2,128,3,3,0,0.1,0.10047942399978638,0.5,9,8,200,1.0,0.7149999737739563,0.7105882167816162,0.986939549446106,1.007009506225586,0.6277368068695068,2.0117657651802903,0.9685399532318116,0.9943248629570008,0.4114810228347778,2.0005234632632654
CSBM-H0.1-FS0.50-TR0.05,GraphSAGE,False,7,128,3,3,0,0.1,0.10047942399978638,0.5,19,16,200,0.9899999499320984,1.0,0.9976470470428467,0.0003694295883178,0.0006407066248357,0.0222254265099763,0.0012880482372793,0.5933902263641357,1.0686283111572266,0.0146149527281522,2.219216265035356
CSBM-H0.1-FS0.50-TR0.05,GraphSAGE,False,8,128,3,3,0,0.1,0.10047942399978638,0.5,1,1,200,0.5,0.5,0.4999999701976776,6.61015510559082e-05,6.179768388392404e-05,0.3149379789829254,0.0001670350124806,-2.384185791015625e-07,3.6315253582053226e-10,0.0199286360293626,3.4615982709522657e-16
CSBM-H0.1-FS0.50-TR0.05,GraphSAGEPairNorm,True,2,128,3,3,0,0.1,0.10047942399978638,0.5,109,100,200,1.0,0.8449999690055847,0.8388234972953796,1.0002304315567017,1.0993375778198242,0.4370970726013183,2.2377005238902514,1.0005358457565308,1.0885276794433594,0.4258360564708709,2.2145601771357843
