target_homophily,feature_signal,graph_seed,baseline_accuracy_l2_pct,baseline_accuracy_l7_pct,baseline_accuracy_l8_pct,baseline_drop_l2_l7_pp,baseline_drop_l2_l8_pp,pairnorm_accuracy_l2_pct,pairnorm_accuracy_l7_pct,pairnorm_accuracy_l8_pct,pairnorm_drop_l2_l7_pp,pairnorm_drop_l2_l8_pp,drop_reduction_l2_l7_pp,drop_reduction_l2_l8_pp
0.5,0.25,1,51.17647051811218,49.58823323249817,51.588231325149536,1.5882372856140137,-0.4117608070373535,50.35293698310852,49.4705855846405,51.941174268722534,0.8823513984680176,-1.5882372856140137,0.7058858871459961,1.1764764785766602
0.5,0.25,2,49.17646944522858,49.99999701976776,48.176467418670654,-0.8235275745391846,1.0000020265579224,48.588234186172485,48.411762714385986,48.941174149513245,0.17647147178649902,-0.3529399633407593,-0.9999990463256836,1.3529419898986816
0.5,0.25,3,49.35293793678284,49.99999701976776,49.99999701976776,-0.6470590829849243,-0.6470590829849243,50.05882382392883,50.823527574539185,52.11764574050903,-0.7647037506103516,-2.0588219165802,0.11764466762542725,1.4117628335952759
0.5,0.25,4,50.29411315917969,49.99999701976776,49.99999701976776,0.29411613941192627,0.29411613941192627,50.29411315917969,49.529409408569336,50.235289335250854,0.7647037506103516,0.05882382392883301,-0.4705876111984253,0.23529231548309326
0.5,0.25,5,49.23529326915741,49.99999701976776,50.35293698310852,-0.7647037506103516,-1.1176437139511108,48.70588183403015,48.29411506652832,50.58823227882385,0.41176676750183105,-1.8823504447937012,-1.1764705181121826,0.7647067308425903
0.5,0.5,1,51.588231325149536,49.647057056427,49.99999701976776,1.9411742687225342,1.588234305381775,50.76470375061035,50.235289335250854,49.05882179737091,0.5294144153594971,1.705881953239441,1.411759853363037,-0.11764764785766602
0.5,0.5,2,50.05882382392883,51.05882287025452,49.99999701976776,-0.9999990463256836,0.05882680416107178,49.882352352142334,49.99999701976776,48.82352650165558,-0.11764466762542725,1.0588258504867554,-0.8823543787002563,-0.9999990463256836
0.5,0.5,3,51.41175985336304,49.99999701976776,50.88235139846802,1.4117628335952759,0.5294084548950195,51.47058367729187,52.64705419540405,52.2352933883667,-1.1764705181121826,-0.7647097110748291,2.5882333517074585,1.2941181659698486
0.5,0.5,4,50.999999046325684,49.99999701976776,49.99999701976776,1.0000020265579224,1.0000020265579224,51.35294198989868,50.235289335250854,49.58823323249817,1.1176526546478271,1.7647087574005127,-0.11765062808990479,-0.7647067308425903
0.5,0.5,5,50.41176080703735,49.99999701976776,49.99999701976776,0.4117637872695923,0.4117637872695923,46.23529314994812,48.99999797344208,51.235294342041016,-2.7647048234939575,-5.0000011920928955,3.17646861076355,5.411764979362488
0.9,0.25,1,60.88234782218933,99.23529028892517,99.88234639167786,-38.35294246673584,-38.999998569488525,69.6470558643341,99.58823323249817,99.99999403953552,-29.941177368164062,-30.352938175201416,-8.411765098571777,-8.64706039428711
0.9,0.25,2,60.11764407157898,99.70588088035583,53.70588302612305,-39.588236808776855,6.411761045455933,66.94117188453674,99.88234639167786,99.94117021560669,-32.94117450714111,-32.999998331069946,-6.647062301635742,39.41175937652588
0.9,0.25,3,62.58823275566101,99.94117021560669,99.82352256774902,-37.35293745994568,-37.23528981208801,67.99999475479126,99.76470470428467,99.94117021560669,-31.764709949493408,-31.94117546081543,-5.5882275104522705,-5.294114351272583
0.9,0.25,4,61.29411458969116,99.05881881713867,49.99999701976776,-37.76470422744751,11.2941175699234,71.8823492527008,99.58823323249817,98.70587587356567,-27.705883979797363,-26.823526620864868,-10.058820247650146,38.11764419078827
0.9,0.25,5,63.76470327377319,99.88234639167786,99.88234639167786,-36.11764311790466,-36.11764311790466,73.41176271438599,99.99999403953552,99.99999403953552,-26.588231325149536,-26.588231325149536,-9.529411792755127,-9.529411792755127
0.9,0.5,1,69.6470558643341,98.99999499320984,99.99999403953552,-29.352939128875732,-30.352938175201416,81.11764192581177,99.70588088035583,99.99999403953552,-18.588238954544067,-18.882352113723755,-10.764700174331665,-11.470586061477661
0.9,0.5,2,72.17646837234497,99.35293793678284,99.52940940856934,-27.176469564437866,-27.352941036224365,81.99999928474426,99.94117021560669,99.99999403953552,-17.941170930862427,-17.99999475479126,-9.23529863357544,-9.352946281433105
0.9,0.5,3,75.05881786346436,99.99999403953552,99.99999403953552,-24.941176176071167,-24.941176176071167,85.11764407157898,99.94117021560669,99.99999403953552,-14.82352614402771,-14.882349967956543,-10.117650032043457,-10.058826208114624
0.9,0.5,4,68.11764240264893,99.58823323249817,99.294114112854,-31.470590829849243,-31.176471710205078,82.47058391571045,99.70588088035583,99.76470470428467,-17.235296964645386,-17.29412078857422,-14.235293865203857,-13.88235092163086
0.9,0.5,5,67.88235306739807,99.17646646499634,99.82352256774902,-31.294113397598267,-31.941169500350952,85.29411554336548,99.647057056427,99.99999403953552,-14.352941513061523,-14.705878496170044,-16.941171884536743,-17.235291004180908
