model,distance,width,graph_seed,init_seed,layers,best_epoch,test_acc,matched_influence,distractor_influence,specificity
GraphSAGERewired,10,4,3,11,10,4,1.0,0.00967805968321045,4.083324826043011e-07,0.9999578101118999
GraphSAGERewired,10,4,3,29,10,3,1.0,0.0023866168785389164,6.537389160010676e-07,0.9997261559242814
GraphSAGERewired,10,4,3,47,10,4,1.0,0.0015177133332144876,4.784191669215954e-07,0.999684875006167
GraphSAGERewired,10,4,4,11,10,3,1.0,0.0073128169069605065,5.190445286351597e-07,0.999929027528339
GraphSAGERewired,10,4,4,29,10,4,1.0,0.013929151456977706,1.4423004786046079e-06,0.9998964651827759
GraphSAGERewired,10,4,4,47,10,5,1.0,0.011181347079400439,1.2475153744473388e-06,0.9998884412410945
GraphSAGERewired,10,4,5,11,10,4,1.0,0.01619035164185334,5.705856762627803e-07,0.9999647588526331
GraphSAGERewired,10,4,5,29,10,4,1.0,0.01111219055019319,7.597968436634517e-07,0.9999316295115277
GraphSAGERewired,10,4,5,47,10,4,1.0,0.0023333595891017467,6.894664237311332e-07,0.9997046045704123
GraphSAGE,10,8,1,11,10,67,0.6966145833333334,0.3668978326022625,0.29607118968851864,0.5534162536493087
GraphSAGE,10,8,1,29,10,19,0.701171875,0.2269964092411101,0.2090990743599832,0.5205199727503449
GraphSAGE,10,8,1,47,10,104,0.6979166666666666,0.19362802268005908,0.18102831684518605,0.5168150175302058
GraphSAGE,10,8,2,11,10,37,0.7093098958333334,0.40213336679153144,0.40179463010281324,0.5002106760114254
GraphSAGE,10,8,2,29,10,325,0.9772135416666666,19.243760877288878,10.590201125945896,0.645028671525482
GraphSAGE,10,8,2,47,10,38,0.6966145833333334,0.3377724748570472,0.34417156409472227,0.49530820061972985
GraphSAGE,10,8,3,11,10,36,0.705078125,0.31898440734948963,0.30882228165864944,0.5080933556998882
GraphSAGE,10,8,3,29,10,191,0.9055989583333334,3.2251653955318034,3.507077229762217,0.4790625613244992
