model_base,distance,width,graph_seed,n_init_base,test_acc_base,matched_influence_base,distractor_influence_base,specificity_base,model_rewired,n_init_rewired,test_acc_rewired,matched_influence_rewired,distractor_influence_rewired,specificity_rewired,accuracy_gain_pp,specificity_gain
GraphSAGE,10,2,5,3,0.5998263888888888,0.03200151092793627,0.03072917307993824,0.5099456210639132,GraphSAGERewired,3,1.0,0.04445774346944139,5.77688210129379e-07,0.9999488503195142,40.017361111111114,0.490003229255601
GraphSAGE,10,4,1,3,0.6563585069444445,1.0875557197529513,0.3214606432981479,0.599183071903997,GraphSAGERewired,3,1.0,0.01685294871397976,1.3940711109013588e-06,0.9998795684488183,34.36414930555555,0.4006964965448213
GraphSAGE,10,4,2,3,0.6698133680555557,0.7358974847663072,0.467596923623906,0.5397973230387304,GraphSAGERewired,3,1.0,0.0212980707353078,5.407843946906669e-07,0.9999442686174055,33.01866319444443,0.4601469455786751
GraphSAGE,10,4,3,3,0.6668836805555555,1.1926397575783387,0.3576814156134181,0.5949014628224149,GraphSAGERewired,3,1.0,0.004527463298321284,5.134968551756547e-07,0.9997896136807828,33.31163194444445,0.40488815085836793
GraphSAGE,10,4,4,3,0.6357421875,0.07386193471029401,0.07383409712929279,0.5000695500120276,GraphSAGERewired,3,1.0,0.010807771814446218,1.0696201272290355e-06,0.9999046446507366,36.42578125,0.499835094638709
GraphSAGE,10,4,5,3,0.6408420138888888,0.07485341544573505,0.07219583611004055,0.5094528477220773,GraphSAGERewired,3,1.0,0.009878633927049426,6.732829812191218e-07,0.9998669976448578,35.915798611111114,0.49041414992278043
GraphSAGE,10,8,1,3,0.6985677083333334,0.26250742150781053,0.22873286029789597,0.5302504146432865,GraphSAGERewired,3,1.0,0.013097406080002353,3.7073473702076143e-06,0.9996146169227038,30.143229166666664,0.46936420227941733
GraphSAGE,10,8,2,3,0.7943793402777778,6.661222239645819,3.7787224400478103,0.5468491827188792,GraphSAGERewired,3,1.0,0.02543387825001749,5.995246068183728e-06,0.999528029706305,20.56206597222222,0.4526788469874259
GraphSAGE,10,8,3,3,0.766818576388889,1.2582039151263114,1.351514254725771,0.4928119312509785,GraphSAGERewired,3,1.0,0.01102823142446141,3.117953008132298e-06,0.999559902867702,23.318142361111104,0.5067479716167236
GraphSAGE,10,8,4,3,0.7080078125,0.2456836950344344,0.22587156804123273,0.5210809509388888,GraphSAGERewired,3,1.0,0.00965069003844595,1.5368174476522907e-06,0.9998446491443239,29.19921875,0.4787636982054351
GraphSAGE,10,8,5,3,0.6983506944444443,0.29042309685610235,0.2593968769845863,0.52864896531476,GraphSAGERewired,3,1.0,0.008372679800534874,1.1583122182893628e-06,0.9997062993462342,30.164930555555568,0.4710573340314742
