model_base,distance,width,graph_seed,n_init_base,test_acc_base,matched_influence_base,distractor_influence_base,specificity_base,model_rewired,n_init_rewired,test_acc_rewired,matched_influence_rewired,distractor_influence_rewired,specificity_rewired,accuracy_gain_pp,specificity_gain
GraphSAGE,8,2,1,3,0.5936414930555556,0.03303643590576636,0.03295502924205115,0.5006640355321464,GraphSAGERewired,3,1.0,0.023010621789296692,5.3817195568110305e-06,0.9996579107300683,40.63585069444444,0.4989938751979218
GraphSAGE,8,2,2,3,0.5986328125,0.0264076292588508,0.026215510759129756,0.5107574555781853,GraphSAGERewired,3,1.0,0.030770594063142198,6.206173396379929e-06,0.9996458499720408,40.13671875,0.48888839439385545
GraphSAGE,8,2,3,3,0.6212022569444444,0.12076754222334785,0.08985525827665697,0.5419523914747936,GraphSAGERewired,3,1.0,0.01229273011085752,4.6193911993341885e-06,0.9996168735723541,37.87977430555556,0.4576644820975605
GraphSAGE,8,2,4,3,0.5909288194444445,0.1248490133117836,0.03768858242422842,0.620889529307736,GraphSAGERewired,3,1.0,0.015254643022975264,5.370006954959668e-06,0.999572967394139,40.90711805555555,0.37868343808640303
GraphSAGE,8,2,5,3,0.6013454861111112,0.03368635783166004,0.03383421678639328,0.49894325903160675,GraphSAGERewired,3,1.0,0.01088422538850864,4.570914409196547e-06,0.9995081622678946,39.865451388888886,0.5005649032362879
GraphSAGE,8,4,1,3,0.6878255208333334,0.8105307068108232,0.2791076311744594,0.5902072725636814,GraphSAGERewired,3,1.0,0.022009727670081247,1.4856379405792097e-05,0.9989440638362326,31.217447916666664,0.40873679127255114
GraphSAGE,8,4,2,3,0.6334635416666666,0.07037062547169626,0.07090582050538312,0.49807056276483336,GraphSAGERewired,3,1.0,0.014220091913254388,1.1698703734778585e-05,0.9991303693687383,36.653645833333336,0.5010598066039049
GraphSAGE,8,4,3,3,0.6723090277777778,1.131176754489843,0.3982843872068618,0.5843203817304244,GraphSAGERewired,3,1.0,0.013284669506901992,1.1505469423115736e-05,0.999131476915675,32.76909722222222,0.4148110951852506
GraphSAGE,8,4,4,3,0.6383463541666666,0.07626769660661618,0.07639382754374917,0.49977084172253344,GraphSAGERewired,3,1.0,0.012218181670808312,1.1755280666732778e-05,0.9989016232406477,36.165364583333336,0.49913078151811424
GraphSAGE,8,4,5,3,0.6399739583333334,0.07573671883437783,0.07503827847540379,0.5023982441964314,GraphSAGERewired,3,1.0,0.012389701537661798,2.0096627424563234e-05,0.9982088607877696,36.002604166666664,0.4958106165913382
GraphSAGE,8,8,1,3,0.7022569444444443,0.20292219585583857,0.19318772538099438,0.512165501070618,GraphSAGERewired,3,1.0,0.021005892459887338,5.8236072044100716e-05,0.9943429134939931,29.774305555555568,0.4821774124233751
GraphSAGE,8,8,2,3,0.6994357638888888,0.3161247740111624,0.32735302574777353,0.49140799101843585,GraphSAGERewired,3,1.0,0.008828254073023345,4.016592791937038e-05,0.9948476969739608,30.056423611111114,0.5034397059555249
GraphSAGE,8,8,3,3,0.6923828125,0.22228432814053178,0.22949129435689505,0.5013680528748875,GraphSAGERewired,3,1.0,0.014862168187998273,8.238271138575708e-05,0.9951785583546768,30.76171875,0.49381050547978933
GraphSAGE,8,8,4,3,0.7112630208333334,0.23619422685199729,0.21388368762563914,0.5243935902796637,GraphSAGERewired,3,1.0,0.013409080481020888,6.038375494791618e-05,0.9957575435151217,28.873697916666664,0.471363953235458
GraphSAGE,8,8,5,3,0.6967230902777778,0.2608086989882092,0.23718531499616802,0.5226644534550094,GraphSAGERewired,3,1.0,0.013881893847459045,3.0307874178940136e-05,0.9978331732235642,30.32769097222222,0.4751687197685548
GraphSAGE,10,1,1,3,0.5708550347222222,0.01273636578116566,0.012666254149128994,0.5012282658761263,GraphSAGERewired,3,1.0,0.01180432407348538,1.9501498496610203e-07,0.999944878790647,42.91449652777778,0.49871661291452063
GraphSAGE,10,1,2,3,0.5696614583333334,0.011600055657936537,0.011529918414926973,0.5028866287900012,GraphSAGERewired,3,1.0,0.03251638334525827,4.3641743320092335e-07,0.9999869412308988,43.033854166666664,0.4971003124408976
GraphSAGE,10,1,3,3,0.5753038194444445,0.004678901736686687,0.004667589451950486,0.5101436360963811,GraphSAGERewired,3,1.0,0.011103515930396194,2.4689882816934333e-07,0.999955391192909,42.46961805555555,0.48981175509652786
GraphSAGE,10,1,4,3,0.5710720486111112,0.01602020768005256,0.013433710445705552,0.5408741596252524,GraphSAGERewired,3,1.0,0.013787384738558709,3.1586145037010294e-07,0.9999783726126621,42.892795138888886,0.45910421298740967
GraphSAGE,10,1,5,3,0.5645616319444445,0.012059080851031467,0.012022236352398371,0.500607191398832,GraphSAGERewired,3,1.0,0.010223319152525315,1.658632123082334e-07,0.9999684733782813,43.54383680555555,0.4993612819794493
GraphSAGE,10,2,1,3,0.5914713541666666,0.030509100974692654,0.03039239681675099,0.5009803125875583,GraphSAGERewired,3,1.0,0.016145106029701612,2.7584412348735654e-07,0.9999775508637258,40.852864583333336,0.4989972382761675
GraphSAGE,10,2,2,3,0.597439236111111,0.031616704698535614,0.03152060819653949,0.5007030433180236,GraphSAGERewired,3,1.0,0.02887809214977703,6.218685232317611e-07,0.9999710337258186,40.25607638888889,0.499267990407795
GraphSAGE,10,2,3,3,0.611328125,0.22056244168017733,0.10306705083530687,0.5999294786800079,GraphSAGERewired,3,1.0,0.004147573410894741,2.2679476420946662e-07,0.9998983563354716,38.8671875,0.39996887765546374
GraphSAGE,10,2,4,3,0.5997178819444445,0.028911064885202602,0.028970555255606694,0.4998115152232428,GraphSAGERewired,3,1.0,0.010109419748611495,5.75726592437024e-07,0.9999447745022421,40.02821180555555,0.5001332592789993
