dataset,model,num_layers,hidden_channels,learning_rate,seed,split_idx,best_epoch_400,best_val_acc_400,test_acc_at_best_val_400,best_epoch_800,best_val_acc_800,test_acc_at_best_val_800,validation_gain_800_minus_400,test_gain_800_minus_400,best_epoch_shift,optimum_after_400,optimum_at_800_cap,optimum_last_10_percent,final_val_acc,final_test_acc,final_loss,summary_path,history_path
Amazon-Ratings,GraphSAGEPairNorm,4,128,0.01,1,2,362,0.5242528172464478,0.5173934345908868,362,0.5242528172464478,0.5173934345908868,0.0,0.0,0,False,False,False,0.5138004246284501,0.514453699167075,0.6273593306541443,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split2_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split2_history.csv
Amazon-Ratings,GraphSAGEPairNorm,4,128,0.01,1,3,390,0.5173934345908868,0.5035113506451087,697,0.5237628613424792,0.5151069737056998,0.006369426751592355,0.011595623060591143,307,True,False,False,0.5200065327453862,0.5177200718601992,0.6476922631263733,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split3_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split3_history.csv
Amazon-Ratings,GraphSAGEPairNorm,4,128,0.01,1,4,321,0.5288257390168218,0.5139637432631063,601,0.531275518536665,0.5227829495345419,0.002449779519843154,0.008819206271435509,280,True,False,False,0.5216397190919484,0.5147803364363874,0.6321605443954468,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split4_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split4_history.csv
Amazon-Ratings,GraphSAGEPairNorm,4,128,0.01,1,5,375,0.5219663563612609,0.5206598072840111,575,0.5286624203821656,0.52588600359301,0.006696064020904724,0.005226196308998898,200,True,False,False,0.5151069737056998,0.52588600359301,0.612437903881073,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split5_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split5_history.csv
Amazon-Ratings,GraphSAGEPairNorm,4,128,0.01,1,6,343,0.5216397190919484,0.5121672382818879,725,0.5329087048832272,0.5235995427078229,0.011268985791278774,0.011432304425935014,382,True,False,True,0.5255593663236975,0.5255593663236975,0.6542987823486328,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split6_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split6_history.csv
Amazon-Ratings,GraphSAGEPairNorm,4,128,0.01,1,7,400,0.514453699167075,0.5116772823779193,799,0.5206598072840111,0.5113506451086068,0.006206108116936115,-0.0003266372693124797,399,True,False,True,0.5160868855136371,0.5131471500898253,0.6383822560310364,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split7_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split7_history.csv
Amazon-Ratings,GraphSAGEPairNorm,4,128,0.01,1,8,352,0.5162502041482934,0.5041646251837335,656,0.5177200718601992,0.5084109096847951,0.0014698677119058257,0.00424628450106157,304,True,False,False,0.5072676792422015,0.5051445369916707,0.6284651160240173,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split8_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split8_history.csv
Amazon-Ratings,GraphSAGEPairNorm,4,128,0.01,1,9,311,0.5131471500898253,0.5059611301649518,543,0.5165768414176057,0.5082475910501388,0.003429691327780482,0.002286460885187025,232,True,False,False,0.5095541401273885,0.5077576351461702,0.6302485466003418,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split9_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split9_history.csv
Amazon-Ratings,GraphSAGEPairNorm,8,128,0.005,1,0,395,0.5066144047035767,0.5046545810877021,588,0.5147803364363874,0.5147803364363874,0.008165931732810772,0.010125755348685317,193,True,False,False,0.5051445369916707,0.5111873264739507,0.6922855377197266,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L8_H128_seed1_split0_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L8_H128_seed1_split0_history.csv
Amazon-Ratings,GraphSAGEPairNorm,8,128,0.005,1,1,383,0.5110240078392945,0.5005716152212968,594,0.5185366650334803,0.5100440960313571,0.007512657194185812,0.009472480810060357,211,True,False,False,0.5090641842234199,0.5124938755512004,0.7206920981407166,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L8_H128_seed1_split1_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L8_H128_seed1_split1_history.csv
Amazon-Ratings,GraphSAGEPairNorm,8,128,0.005,1,2,331,0.5133104687244815,0.5057978115302956,720,0.5229462681691981,0.5159235668789809,0.009635799444716597,0.010125755348685317,389,True,False,True,0.5138004246284501,0.5121672382818879,0.6986188292503357,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L8_H128_seed1_split2_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L8_H128_seed1_split2_history.csv
Amazon-Ratings,GraphSAGEPairNorm,8,128,0.005,1,3,397,0.5049812183570145,0.499265066144047,754,0.5095541401273885,0.4951821002776417,0.00457292177037405,-0.004082965866405275,357,True,False,True,0.5028580761064837,0.5105340519353259,0.7135618329048157,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L8_H128_seed1_split3_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L8_H128_seed1_split3_history.csv
Amazon-Ratings,GraphSAGEPairNorm,8,128,0.005,1,4,394,0.5151069737056998,0.4976318797974849,790,0.5203331700146987,0.5095541401273885,0.005226196308998898,0.011922260329903622,396,True,False,True,0.5139637432631063,0.5089008655887637,0.6971022486686707,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L8_H128_seed1_split4_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L8_H128_seed1_split4_history.csv
Amazon-Ratings,GraphSAGEPairNorm,8,128,0.005,1,5,367,0.5018781642985465,0.5020414829332027,654,0.5134737873591376,0.5218030377266046,0.011595623060591143,0.019761554793401914,287,True,False,False,0.5044912624530459,0.5147803364363874,0.7298829555511475,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L8_H128_seed1_split5_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L8_H128_seed1_split5_history.csv
Amazon-Ratings,GraphSAGEPairNorm,8,128,0.005,1,6,379,0.5002449779519843,0.5010615711252654,741,0.5185366650334803,0.5151069737056998,0.018291687081495978,0.014045402580434407,362,True,False,True,0.5116772823779193,0.5100440960313571,0.7232634425163269,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L8_H128_seed1_split6_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L8_H128_seed1_split6_history.csv
Amazon-Ratings,GraphSAGEPairNorm,8,128,0.005,1,7,398,0.5036746692797648,0.501551527029234,781,0.5172301159562306,0.5116772823779193,0.013555446676465799,0.010125755348685317,383,True,False,True,0.5079209537808264,0.5097174587620448,0.7213303446769714,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L8_H128_seed1_split7_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L8_H128_seed1_split7_history.csv
Amazon-Ratings,GraphSAGEPairNorm,8,128,0.005,1,8,399,0.5097174587620448,0.4956720561816103,774,0.5180467091295117,0.5004082965866405,0.0083292503674669,0.004736240405030234,375,True,False,True,0.5110240078392945,0.5115139637432631,0.6887310147285461,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L8_H128_seed1_split8_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L8_H128_seed1_split8_history.csv
Amazon-Ratings,GraphSAGEPairNorm,8,128,0.005,1,9,387,0.507594316511514,0.5018781642985465,608,0.5204964886493549,0.5036746692797648,0.01290217213784095,0.0017965049812183054,221,True,False,False,0.510697370569982,0.506124448799608,0.7101252675056458,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L8_H128_seed1_split9_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L8_H128_seed1_split9_history.csv
