dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,num_labeled_nodes_used,num_classes_used,class_metric_scope,within_class_cosine_distance,between_class_cosine_distance,class_separation_margin,class_centroid_cosine_distance,fisher_discriminant_ratio,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm,selected_representation,source_file
Amazon-Ratings,GraphSAGE,1,6,8,128,400,7,convs.6,2048,0,0,,,,,,,0.7191828489303589,0.0639375448226928,0.579612135887146,0.0725415647403766,128,2.356513738632202,0.018410263583064,2.52838397026062,0.0411379933357238,5.0374833042528335,convs.6,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split6_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,6,8,128,600,7,convs.6,2048,0,0,,,,,,,0.6743410229682922,0.1629851758480072,2.669194459915161,0.1711162850840402,128,2.7066519260406494,0.0211457181721925,3.3381266593933105,0.0745167508721351,8.525290566498471,convs.6,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split6_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,6,8,128,800,7,convs.6,2048,0,0,,,,,,,0.7730881571769714,0.2733987867832184,8.022899627685547,0.4645023659052562,128,2.9901576042175293,0.0233606062829494,3.303116798400879,0.1023187637329101,4.454519774819267,convs.6,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split6_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,7,8,128,1,7,convs.6,2048,0,0,,,,,,,3.349781036376953e-05,3.848879259749083e-06,4.768657163367607e-06,7.870149451066895e-06,128,44.02651977539063,0.3439571857452392,0.7784062027931213,1.6562114524276694e-07,0.3852630705546201,convs.6,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split7_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,7,8,128,10,7,convs.6,2048,0,0,,,,,,,4.76837158203125e-07,3.5212540439033546e-08,1.0593423667160096e-06,1.667907783642771e-07,128,15.088171005249023,0.117876335978508,2.520180940628052,1.2197719456708e-07,0.0694837517964065,convs.6,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split7_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,7,8,128,25,7,convs.6,2048,0,0,,,,,,,2.384185791015625e-07,1.7347803193956682e-08,2.936943417353177e-07,6.726608914140355e-08,128,5.959523677825928,0.046558778733015,2.089534044265747,4.2424034063515144e-08,0.0649321162810514,convs.6,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split7_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,7,8,128,50,7,convs.6,2048,0,0,,,,,,,7.152557373046875e-07,2.7963899640326417e-08,5.628454573525232e-07,2.0934036942728607e-07,128,1.8285187482833865,0.0142853027209639,1.639710783958435,9.994748495500973e-08,0.0172111457269319,convs.6,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split7_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,7,8,128,100,7,convs.6,2048,0,0,,,,,,,0.4282923936843872,0.0116336653009057,0.0691835060715675,0.0199798654128694,128,1.79974365234375,0.0140604972839355,1.7340744733810425,0.0132728517055511,0.2431374143973899,convs.6,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split7_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,7,8,128,200,7,convs.6,2048,0,0,,,,,,,0.5130710005760193,0.0183125045150518,0.1234825551509857,0.0297239234703487,128,2.3815629482269287,0.0186059605330228,1.9908617734909055,0.0172752253711223,3.984387015109552,convs.6,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split7_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,7,8,128,400,7,convs.6,2048,0,0,,,,,,,0.703912615776062,0.0669958963990211,0.6040210723876953,0.0823168528589601,128,2.633631467819214,0.0205752458423376,2.517759084701538,0.039174634963274,2.6108288962031407,convs.6,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split7_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,7,8,128,600,7,convs.6,2048,0,0,,,,,,,0.7173558473587036,0.1540484428405761,1.6189677715301514,0.2501268049118311,128,3.3932580947875977,0.0265098288655281,2.387631893157959,0.0376598536968231,1.076110155012161,convs.6,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split7_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,7,8,128,800,7,convs.6,2048,0,0,,,,,,,0.7557809352874756,0.2211779654026031,3.1187732219696045,0.404307527687982,128,3.616811037063599,0.0282563362270593,2.5132224559783936,0.0485769137740135,1.995842953814483,convs.6,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split7_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,8,8,128,1,7,convs.6,2048,0,0,,,,,,,3.439188003540039e-05,3.896297585015418e-06,4.798330792255001e-06,7.968481098897127e-06,128,44.16385269165039,0.3450300991535187,0.7759915590286255,1.6893673659978958e-07,0.3861231328610865,convs.6,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split8_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,8,8,128,10,7,convs.6,2048,0,0,,,,,,,4.76837158203125e-07,3.786768587588085e-08,1.0434305295348167e-06,1.6247716776502833e-07,128,16.216142654418945,0.126688614487648,2.5341668128967285,1.1542668687525293e-07,0.0736842220493324,convs.6,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split8_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,8,8,128,25,7,convs.6,2048,0,0,,,,,,,2.384185791015625e-07,1.775712377138916e-08,2.8687975373031804e-07,6.36359919154907e-08,128,6.387054443359375,0.0498988628387451,2.1232364177703857,4.050909296893224e-08,0.0657463992782286,convs.6,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split8_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,8,8,128,50,7,convs.6,2048,0,0,,,,,,,4.76837158203125e-07,2.3625988276876345e-08,4.797440738002479e-07,1.729215828130219e-07,128,1.932610273361206,0.0150985177606344,1.6656337976455688,8.301360310269956e-08,0.0177495310316059,convs.6,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split8_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,8,8,128,100,7,convs.6,2048,0,0,,,,,,,0.3150895237922668,0.0102811865508556,0.0861336886882782,0.0136424118662375,128,1.5097824335098269,0.0117951752617955,2.3303332328796387,0.0165114700794219,0.1023637510370007,convs.6,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split8_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,8,8,128,200,7,convs.6,2048,0,0,,,,,,,0.4980561733245849,0.0176069177687168,0.1301057040691375,0.0285654171827119,128,2.385448217391968,0.0186363141983747,2.080444097518921,0.0179757066071033,2.7804211648702752,convs.6,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split8_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,8,8,128,400,7,convs.6,2048,0,0,,,,,,,0.6705957651138306,0.0707211121916771,0.6301913261413574,0.0922250043718719,128,2.6343085765838623,0.0205805357545614,2.43945837020874,0.0350338406860828,0.5893833289419583,convs.6,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split8_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,8,8,128,600,7,convs.6,2048,0,0,,,,,,,0.7113791704177856,0.1718993186950683,1.86685049533844,0.2542752063781875,128,3.121578454971313,0.0243873316794633,2.4973549842834477,0.041333332657814,3.7778729622165423,convs.6,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split8_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,8,8,128,800,7,convs.6,2048,0,0,,,,,,,0.7790472507476807,0.2578899264335632,3.818951606750488,0.4341408102190445,128,3.262906551361084,0.0254914574325084,2.6295058727264404,0.0551624670624733,3.865501339020501,convs.6,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split8_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,9,8,128,1,7,convs.6,2048,0,0,,,,,,,3.528594970703125e-05,3.95703682443127e-06,4.873596935794922e-06,8.125034256723583e-06,128,44.31007385253906,0.3461724519729614,0.774482786655426,1.746938096403028e-07,0.3848364062811848,convs.6,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split9_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,9,8,128,10,7,convs.6,2048,0,0,,,,,,,4.76837158203125e-07,3.921607927281912e-08,1.440769551663834e-06,2.309025693704669e-07,128,13.42190170288086,0.1048586070537567,2.497941493988037,1.662611595065755e-07,0.0894354979832411,convs.6,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split9_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,9,8,128,25,7,convs.6,2048,0,0,,,,,,,2.384185791015625e-07,1.7804525853648556e-08,3.281273279753805e-07,7.224175171296685e-08,128,6.267943382263184,0.0489683076739311,2.1312127113342285,4.851720447618391e-08,0.062824781355772,convs.6,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split9_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,9,8,128,50,7,convs.6,2048,0,0,,,,,,,1.132488250732422e-06,3.678448834421033e-08,8.915679359233764e-07,3.190280952292324e-07,128,1.7733803987503052,0.0138545343652367,1.671712040901184,1.5563769295567909e-07,0.0211524940108437,convs.6,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split9_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,9,8,128,100,7,convs.6,2048,0,0,,,,,,,0.299275279045105,0.0084863137453794,0.0526946224272251,0.0132611653664739,128,1.645563006401062,0.0128559609875082,1.8921183347702024,0.0098555218428373,0.8443317797989963,convs.6,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split9_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,9,8,128,200,7,convs.6,2048,0,0,,,,,,,0.4854609370231628,0.0197101682424545,0.1540189385414123,0.0298277637335364,128,2.337185859680176,0.0182592645287513,2.1758265495300293,0.0199422352015972,2.697399449257024,convs.6,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split9_oversmoothing.csv
