dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,num_labeled_nodes_used,num_classes_used,class_metric_scope,within_class_cosine_distance,between_class_cosine_distance,class_separation_margin,class_centroid_cosine_distance,fisher_discriminant_ratio,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm,selected_representation,source_file,best_epoch,test_acc_at_best_val,metric_epoch_gap
Roman-empire,GraphSAGE,1,3,4,128,400,3,convs.2,2048,0,0,,,,,,,0.7672654390335083,0.806622326374054,135.0733184814453,1.638033534096026,128,11.03232479095459,0.0861900374293327,8.215882301330566,0.5182071328163147,0.3512345301244358,convs.2,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGE_L4_H128_seed1_split3_oversmoothing.csv,521,0.8000352982703848,121
Roman-empire,GraphSAGE,1,4,4,128,200,3,convs.2,2048,0,0,,,,,,,0.8076390027999878,0.8272111415863037,196.39456176757807,1.694079408906987,128,11.539319038391112,0.0901509299874305,9.885491371154783,0.7509938478469849,0.2911783508388629,convs.2,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGE_L4_H128_seed1_split4_oversmoothing.csv,294,0.7977409106953759,94
Roman-empire,GraphSAGE,1,5,4,128,200,3,convs.2,2048,0,0,,,,,,,0.8168402910232544,0.8603345155715942,218.2568817138672,1.767766405947064,128,11.320198059082031,0.0884390473365783,10.092738151550291,0.8039512038230896,0.3775769292819443,convs.2,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGE_L4_H128_seed1_split5_oversmoothing.csv,280,0.8108012707377339,80
Roman-empire,GraphSAGE,1,6,4,128,400,3,convs.2,2048,0,0,,,,,,,0.765384316444397,0.7970981001853943,148.1080322265625,1.6297502721733097,128,10.44284725189209,0.0815847441554069,8.484009742736816,0.5670284032821655,0.3136491516321238,convs.2,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGE_L4_H128_seed1_split6_oversmoothing.csv,491,0.7995058242146135,91
Roman-empire,GraphSAGE,1,7,4,128,200,3,convs.2,2048,0,0,,,,,,,0.7885593771934509,0.8275313377380371,203.3926696777344,1.698143965515155,128,11.378284454345703,0.0888928472995758,9.987102508544922,0.7602660655975342,0.3488930847137031,convs.2,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGE_L4_H128_seed1_split7_oversmoothing.csv,262,0.8056830215319449,62
Roman-empire,GraphSAGE,1,8,4,128,200,3,convs.2,2048,0,0,,,,,,,0.8376024961471558,0.8614814281463623,210.5500640869141,1.7596617079161898,128,11.837672233581545,0.0924818143248558,10.065289497375488,0.8002901673316956,0.374685047744944,convs.2,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGE_L4_H128_seed1_split8_oversmoothing.csv,299,0.8023296858453935,99
Roman-empire,GraphSAGE,1,9,4,128,200,3,convs.2,2048,0,0,,,,,,,0.8133094310760498,0.8515617847442627,204.6678466796875,1.741302711517895,128,11.191693305969238,0.0874351039528846,9.904587745666504,0.7652832865715027,0.3207405874765759,convs.2,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGE_L4_H128_seed1_split9_oversmoothing.csv,321,0.7887398517472644,121
Roman-empire,GraphSAGE,1,0,8,128,600,7,convs.6,2048,0,0,,,,,,,0.69123774766922,0.6713829040527344,2254.247314453125,1.3081479748840157,128,13.434115409851074,0.1049540266394615,36.47435760498047,9.63027000427246,0.4647498723772941,convs.6,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGE_L8_H128_seed1_split0_oversmoothing.csv,770,0.7970349452876809,170
Roman-empire,GraphSAGE,1,1,8,128,600,7,convs.6,2048,0,0,,,,,,,0.7079136967658997,0.6899566054344177,2253.7529296875,1.2806463375663526,128,13.426036834716797,0.1048909127712249,36.629005432128906,10.035110473632812,0.4175036215278985,convs.6,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGE_L8_H128_seed1_split1_oversmoothing.csv,770,0.7977409106953759,170
Roman-empire,GraphSAGE,1,2,8,128,600,7,convs.6,2048,0,0,,,,,,,0.69134521484375,0.6639378070831299,1940.31982421875,1.2447551461824355,128,14.28701877593994,0.1116173341870307,35.0609130859375,8.628865242004395,0.4478939088960858,convs.6,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGE_L8_H128_seed1_split2_oversmoothing.csv,798,0.801270737733851,198
Roman-empire,GraphSAGE,1,3,8,128,600,7,convs.6,2048,0,0,,,,,,,0.6992214322090149,0.6790341734886169,2322.921630859375,1.2897248315779486,128,12.591025352478027,0.0983673855662345,36.90150833129883,10.118154525756836,0.5450665586053396,convs.6,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGE_L8_H128_seed1_split3_oversmoothing.csv,795,0.7871514295799505,195
Roman-empire,GraphSAGE,1,4,8,128,600,7,convs.6,2048,0,0,,,,,,,0.6982520818710327,0.6672901511192322,1998.4171142578125,1.2826814766156145,128,13.870087623596191,0.1083600595593452,35.4250373840332,8.797830581665039,0.3899533563113519,convs.6,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGE_L8_H128_seed1_split4_oversmoothing.csv,777,0.7982703847511472,177
Roman-empire,GraphSAGE,1,5,8,128,600,7,convs.6,2048,0,0,,,,,,,0.6639631986618042,0.6433258056640625,2846.66552734375,1.2297770801740595,128,13.606677055358888,0.1063021644949913,41.67610168457031,12.501622200012209,0.4123656051242231,convs.6,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGE_L8_H128_seed1_split5_oversmoothing.csv,797,0.7993293328626897,197
Roman-empire,GraphSAGE,1,6,8,128,800,7,convs.6,2048,0,0,,,,,,,0.7142427563667297,0.6768307089805603,1870.35595703125,1.2697725880653463,128,14.44766330718994,0.1128723695874214,33.94236755371094,8.429851531982422,0.4054147606696393,convs.6,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGE_L8_H128_seed1_split6_oversmoothing.csv,800,0.7979174020472997,0
Roman-empire,GraphSAGE,1,7,8,128,600,7,convs.6,2048,0,0,,,,,,,0.7011127471923828,0.6630208492279053,2113.31884765625,1.249366866170667,128,14.63436794281006,0.1143309995532035,36.42627716064453,9.541149139404297,0.5787805963636841,convs.6,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGE_L8_H128_seed1_split7_oversmoothing.csv,780,0.7991528415107659,180
Roman-empire,GraphSAGE,1,8,8,128,600,7,convs.6,2048,0,0,,,,,,,0.6834087371826172,0.658334493637085,2300.541748046875,1.2626499569670788,128,13.852806091308594,0.1082250475883483,38.163875579833984,10.11318588256836,0.3772345847883466,convs.6,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGE_L8_H128_seed1_split8_oversmoothing.csv,738,0.7924461701376633,138
Roman-empire,GraphSAGE,1,9,8,128,600,7,convs.6,2048,0,0,,,,,,,0.7012159824371338,0.6718079447746277,2021.303466796875,1.2602843382869375,128,14.129035949707031,0.1103830933570861,35.74005889892578,8.971500396728516,0.5031280853228205,convs.6,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGE_L8_H128_seed1_split9_oversmoothing.csv,757,0.7961524885280621,157
