epoch,num_layers,metric,baseline_mean,pairnorm_mean,pairnorm_to_baseline_ratio,n_pairs,mean_difference,ci95_low,ci95_high,positive_pairs,negative_pairs,zero_pairs,paired_t_pvalue,wilcoxon_pvalue,exact_sign_flip_pvalue,cohen_dz,paired_t_holm_pvalue,wilcoxon_holm_pvalue,exact_sign_flip_holm_pvalue
600,4,normalized_dirichlet_energy,1.1003712364735254,1.9561289950384821,1.7776991348006268,10,0.8557577585649568,0.8092581957752724,0.9022573213546413,10,0,0,1.3269237424995361e-11,0.001953125,0.001953125,13.16511781436254,2.6538474849990723e-11,0.0078125,0.0078125
600,4,effective_rank_ratio,0.02950776927173134,0.04198996983468527,1.4230140356598209,10,0.012482200562953929,0.010835329442178415,0.014129071683729443,10,0,0,3.514748569178312e-08,0.001953125,0.001953125,5.4219351241254685,3.514748569178312e-08,0.0078125,0.0078125
600,8,mean_pairwise_cosine_distance,0.5918200373649597,0.7041657865047455,1.1898309317812183,10,0.11234574913978576,0.07705158128637188,0.14763991699319964,10,0,0,5.079183159153015e-05,0.001953125,0.001953125,2.277070473494835,5.079183159153015e-05,0.0078125,0.0078125
600,8,mean_edge_cosine_distance,0.550859534740448,0.6460724830627441,1.1728443320258732,10,0.09521294832229614,0.06878961439872,0.12163628224587228,10,0,0,1.9050161791388652e-05,0.001953125,0.001953125,2.57769289518358,3.8100323582777304e-05,0.0078125,0.0078125
600,8,normalized_dirichlet_energy,1.2418761980091773,1.7941080925984008,1.444675480111861,10,0.5522318945892233,0.479062487473503,0.6254013017049436,10,0,0,3.647551712430566e-08,0.001953125,0.001953125,5.399017363590908,1.4590206849722265e-07,0.0078125,0.0078125
600,8,effective_rank_ratio,0.014213715214282222,0.02238549962639805,1.5749224807814257,10,0.00817178441211583,0.006670917166459379,0.009672651657772282,10,0,0,6.165355908607866e-07,0.001953125,0.001953125,3.894909713282542,1.8496067725823598e-06,0.0078125,0.0078125
800,4,mean_pairwise_cosine_distance,0.4526673793792725,0.8980015754699707,1.9838000624241359,10,0.44533419609069824,0.4364778610163723,0.45419053116502417,10,0,0,1.5923644423252106e-15,0.001953125,0.001953125,35.9711878528369,6.3694577693008424e-15,0.0078125,0.0078125
800,4,mean_edge_cosine_distance,0.42823065519332887,0.9050359666347504,2.113431057910049,10,0.4768053114414215,0.4646193396258913,0.48899128325695174,10,0,0,1.5198397493086425e-14,0.001953125,0.001953125,27.99005097950832,4.5595192479259276e-14,0.0078125,0.0078125
800,4,normalized_dirichlet_energy,1.0737083108162255,1.9733383451508317,1.8378719110879507,10,0.8996300343346061,0.8564854501145367,0.9427746185546755,10,0,0,4.332659882041587e-12,0.001953125,0.001953125,14.916276736221887,8.665319764083174e-12,0.0078125,0.0078125
800,4,effective_rank_ratio,0.028581760637462084,0.036129609867930346,1.2640792261263045,10,0.0075478492304682605,0.006150981208323188,0.008944717252613333,10,0,0,6.57948293698509e-07,0.001953125,0.001953125,3.8653659377804064,6.57948293698509e-07,0.0078125,0.0078125
800,8,mean_pairwise_cosine_distance,0.6061629116535187,0.7727123737335205,1.2747602317431146,10,0.16654946208000182,0.1218119237419793,0.21128700041802434,10,0,0,1.4651778429442388e-05,0.001953125,0.001953125,2.663139553798676,2.1532386228345215e-05,0.0078125,0.0078125
800,8,mean_edge_cosine_distance,0.5696284592151641,0.7287507712841034,1.2793440346856588,10,0.1591223120689392,0.11797385580962431,0.20027076832825408,10,0,0,1.0766193114172607e-05,0.001953125,0.001953125,2.7663065685381474,2.1532386228345215e-05,0.0078125,0.0078125
