model,distance,width,n_graphs,accuracy_mean,accuracy_sd,specificity_mean,specificity_sd,influence_mean,influence_sd
GraphSAGEPairNorm,6,4,5,0.9857638888888889,0.001264001117050677,0.9008919310560712,0.009232582345316376,4.760868505636851,0.5935950583032631
GraphSAGEPairNorm,6,8,5,0.9977213541666666,0.0007073787332033963,0.8288311259965399,0.012359203667603349,3.4230995908379556,0.20984175783568534
GraphSAGEPairNorm,8,1,5,0.9755425347222222,0.0057929905537819565,0.9518649434017071,0.005575914797036586,4.4729090737334145,0.22814402265102082
GraphSAGEPairNorm,8,2,5,0.9736111111111111,0.0036623304009946117,0.9412374674319539,0.0036620759304003916,4.48505772780627,0.16099765928224444
GraphSAGEPairNorm,8,4,5,0.97890625,0.0022858681837207547,0.911069286693815,0.011102993786979608,4.133421055041254,0.1946823518671916
GraphSAGEPairNorm,8,8,5,0.9957899305555555,0.0013074974246000271,0.8442616457127287,0.011854442195900783,3.4994801392157875,0.21238721316890663
GraphSAGEPairNorm,10,1,5,0.9741319444444445,0.004558970631530835,0.9550774559215265,0.006641618725029135,4.774183663974206,0.3928112419543773
GraphSAGEPairNorm,10,2,5,0.972439236111111,0.0043443448826318894,0.9469450391744282,0.004571081702523142,4.615615906504294,0.22594803300994798
GraphSAGEPairNorm,10,4,5,0.9758463541666667,0.003993144011323999,0.9131123183334054,0.005333390543778846,4.215823523017267,0.3450732187247315
GraphSAGEPairNorm,10,8,5,0.9901258680555556,0.0027278222851512225,0.8551419508888015,0.014546075875212965,3.956066168223818,0.23576557545306775
GraphSAGEPairNormRewired,2,1,5,1.0,0.0,0.9749817542476675,0.0021918198332293165,0.09363938046820593,0.004314489781042177
GraphSAGEPairNormRewired,2,2,5,1.0,0.0,0.97419039603176,0.0014390829693904518,0.0936995888393236,0.004080650537323545
GraphSAGEPairNormRewired,2,4,5,1.0,0.0,0.9588216133094246,0.0017863437455419118,0.09389065879707532,0.0038517644663687823
GraphSAGEPairNormRewired,2,8,5,0.9999565972222222,5.943170111817364e-05,0.9190478032991269,0.007615977323807106,0.09578517131885741,0.004802350329598526
GraphSAGEPairNormRewired,4,1,5,1.0,0.0,0.9676030325117972,0.0018498186525293604,0.06382420870152901,0.0037947168437175117
GraphSAGEPairNormRewired,4,2,5,1.0,0.0,0.9665399129984588,0.0024038680781809135,0.06594710479403142,0.0032344294475837804
GraphSAGEPairNormRewired,4,4,5,1.0,0.0,0.9575525861686721,0.0014876415871777177,0.06814403588444592,0.003256598779251944
GraphSAGEPairNormRewired,4,8,5,1.0,0.0,0.9313260869301745,0.002714999017622492,0.06917864632074873,0.0020163365527435567
GraphSAGEPairNormRewired,6,1,5,1.0,0.0,0.9634223738837686,0.0017283969813816735,0.05204316211068845,0.0014153380417450021
GraphSAGEPairNormRewired,6,2,5,1.0,0.0,0.9613076750103995,0.0011288711178972426,0.05584564392484022,0.0029270203783554414
GraphSAGEPairNormRewired,6,4,5,1.0,0.0,0.9548005447298342,0.002767164296228636,0.056871706733363635,0.0015489487232996926
GraphSAGEPairNormRewired,6,8,5,1.0,0.0,0.924673511198519,0.0038151282063270888,0.057728631981505366,0.0020616928072423745
GraphSAGEPairNormRewired,8,1,5,0.9998046875,0.0002223730634974271,0.9586244520562337,0.002711068005142946,0.04369202249370874,0.003412363258690451
GraphSAGEPairNormRewired,8,2,5,0.9999131944444445,0.00019410312304683435,0.9566129895143222,0.0013399102640046041,0.052887989496836416,0.004670724270227324
GraphSAGEPairNormRewired,8,4,5,0.9998914930555556,0.00015345199244502374,0.9495277412811258,0.0061109242054755465,0.03973603140251114,0.0010039271412271868
GraphSAGEPairNormRewired,8,8,5,0.9999565972222222,9.705156152340941e-05,0.9303366430223645,0.007894044247568108,0.040847604176694044,0.003582505313823021
GraphSAGEPairNormRewired,10,1,5,0.9995876736111111,0.00046922196854250864,0.9552077720180344,0.003264467311711414,0.04124066544915568,0.012946806854810618
GraphSAGEPairNormRewired,10,2,5,0.9998046875,0.00014147574664071454,0.9521580877038799,0.008513675633167812,0.0431056305353801,0.010763253281452114
GraphSAGEPairNormRewired,10,4,5,0.999826388888889,0.00016455892890733954,0.9565011831931933,0.004367759584284926,0.04237532513352558,0.0036835165918275964
GraphSAGEPairNormRewired,10,8,5,0.9999348958333334,9.70515615233957e-05,0.9351674400443042,0.010376674973950513,0.041553482471833034,0.005286933055437248
GraphSAGERewired,2,1,5,1.0,0.0,0.9883051011039615,0.00230110128820673,0.042110408056517626,0.011957651692408913
GraphSAGERewired,2,2,5,1.0,0.0,0.9779897099145891,0.003677433484803877,0.05049797250188322,0.008443617640535543
GraphSAGERewired,2,4,5,0.9999782986111111,4.852578076170522e-05,0.9603927735540705,0.003418334122662845,0.05520267890872972,0.008909007852918203
GraphSAGERewired,2,8,5,1.0,0.0,0.9240114201993089,0.0010016701463341211,0.06105592380181404,0.0012400032567912252
