distance,width,graph_seed,acc_base,spec_base,acc_pn,spec_pn,acc_rew,spec_rew,acc_pn_rew,spec_pn_rew,pairnorm_gain_pp,rewiring_gain_pp,rewiring_after_pairnorm_pp,pairnorm_after_rewiring_pp
4,8,2,0.6966145833333334,0.4988066653120235,0.9969618055555556,0.8180942009327152,1.0,0.9748247410909752,1.0,0.9309570298646572,30.03472222222222,30.338541666666664,0.303819444444442,0.0
4,8,3,0.9163411458333334,0.7147366187333516,0.9964192708333334,0.8026576329413563,1.0,0.9495435302249308,1.0,0.9293019061602984,8.0078125,8.365885416666663,0.35807291666666297,0.0
4,8,4,0.8021918402777778,0.5538491137677816,0.9967447916666666,0.8243869772965714,1.0,0.9641614997648104,1.0,0.9359897191120315,19.455295138888886,19.78081597222222,0.32552083333333703,0.0
4,8,5,0.84375,0.6096165542812632,0.9985894097222222,0.8171506257032193,1.0,0.965025764834838,1.0,0.9308708005540844,15.483940972222221,15.625,0.141059027777779,0.0
6,1,1,0.5680338541666666,0.4984886695231896,0.9819878472222222,0.9491387633831824,1.0,0.9979145016061124,1.0,0.9652215592378928,41.39539930555556,43.196614583333336,1.801215277777779,0.0
6,1,2,0.5684678819444444,0.5006531012981051,0.9705946180555556,0.9298968035324654,1.0,0.9992581374319784,1.0,0.9631880036116658,40.212673611111114,43.15321180555556,2.940538194444442,0.0
6,1,3,0.5808376736111112,0.535296294434166,0.9790581597222222,0.9350963051825292,1.0,0.9993030780718812,1.0,0.9650639094226624,39.82204861111111,41.916232638888886,2.094184027777779,0.0
6,1,4,0.5896267361111112,0.5683993456654687,0.9678819444444444,0.9313953046875748,1.0,0.9992684706454534,1.0,0.962460465312073,37.82552083333333,41.037326388888886,3.211805555555558,0.0
6,1,5,0.5703125,0.5207374786857805,0.981228298611111,0.9361259486781752,1.0,0.9991827959918766,1.0,0.9611779318345494,41.09157986111111,42.96875,1.877170138888895,0.0
6,2,1,0.592990451388889,0.5033736032714616,0.9805772569444444,0.9305783896948224,1.0,0.9957890339145518,1.0,0.9609834077964146,38.75868055555555,40.70095486111111,1.942274305555558,0.0
6,2,2,0.5974392361111112,0.5034100878265514,0.9789496527777776,0.9314123974359424,1.0,0.9986020435273236,1.0,0.9630337494502268,38.15104166666664,40.256076388888886,2.105034722222243,0.0
6,2,3,0.6055772569444445,0.5012983682553998,0.983181423611111,0.932720452139885,1.0,0.9986352304155536,1.0,0.9617577496623828,37.76041666666665,39.44227430555555,1.681857638888895,0.0
6,2,4,0.5988498263888888,0.5026772677319614,0.9810112847222224,0.9243211148307284,1.0,0.998526596230127,1.0,0.9601630821010732,38.21614583333336,40.115017361111114,1.8988715277777568,0.0
6,2,5,0.6053602430555556,0.4973993540897796,0.9861111111111112,0.9373269547688244,1.0,0.9983496259034772,1.0,0.9606003860418996,38.07508680555556,39.46397569444444,1.388888888888884,0.0
6,4,1,0.7137586805555557,0.5659437843037928,0.9867621527777778,0.8880108945724361,1.0,0.9899669736154624,1.0,0.9582391307703434,27.30034722222221,28.624131944444432,1.323784722222221,0.0
6,4,2,0.6362847222222222,0.4981536872513894,0.9844835069444444,0.8943549712761191,1.0,0.996474987599788,1.0,0.9517498685203196,34.81987847222222,36.37152777777778,1.551649305555558,0.0
6,4,3,0.6343315972222222,0.5029526923117886,0.9856770833333334,0.9065556017650218,1.0,0.9957863093389906,1.0,0.957049394321738,35.134548611111114,36.56684027777778,1.432291666666663,0.0
6,4,4,0.7078993055555555,0.5603086163019877,0.9845920138888888,0.90944859693905,1.0,0.9960283798248184,1.0,0.9527876439381144,27.669270833333336,29.210069444444454,1.540798611111116,0.0
6,4,5,0.7361111111111112,0.62510841053173,0.9873046875,0.906089590727729,1.0,0.996085999682232,1.0,0.954176686098656,25.119357638888886,26.388888888888886,1.26953125,0.0
6,8,1,0.8942057291666666,0.5861440626197646,0.998046875,0.8199869477586735,1.0,0.9753625825034034,1.0,0.9248968118309436,10.384114583333337,10.579427083333337,0.1953125,0.0
6,8,2,0.8224826388888888,0.5886653855414542,0.9968532986111112,0.8342443764499209,1.0,0.9866984963544126,1.0,0.9184426377525527,17.437065972222232,17.751736111111114,0.31467013888888395,0.0
6,8,3,0.7774522569444445,0.5745516443778533,0.9983723958333334,0.8412665699995282,1.0,0.9869849747136084,1.0,0.927683987320554,22.092013888888886,22.254774305555546,0.16276041666666297,0.0
6,8,4,0.8785807291666666,0.5737155804861317,0.9982638888888888,0.836744502552881,1.0,0.9906169444680216,1.0,0.9278739562920656,11.968315972222221,12.141927083333337,0.17361111111111605,0.0
6,8,5,0.7947048611111112,0.5694881291352489,0.9970703125,0.811913233221696,1.0,0.9868758632485518,1.0,0.924470162796479,20.236545138888886,20.529513888888886,0.29296875,0.0
8,1,1,0.5651041666666666,0.5002474625064849,0.9735243055555556,0.9434856248221982,1.0,0.9998059649384832,0.9994574652777776,0.9628152047661984,40.84201388888889,43.489583333333336,2.593315972222199,-0.05425347222224319
8,1,2,0.5667317708333334,0.5043583891390581,0.9788411458333334,0.9542619329574288,1.0,0.9997922773725026,0.9997829861111112,0.9555290164875307,41.2109375,43.326822916666664,2.094184027777779,-0.021701388888883955
8,1,3,0.5735677083333334,0.5063727153214393,0.9673394097222222,0.9529933778449626,1.0,0.9998531722257056,1.0,0.9572058793410828,39.377170138888886,42.643229166666664,3.266059027777779,0.0
8,1,4,0.5733506944444445,0.5156485738563649,0.9752604166666666,0.9584961298571444,1.0,0.9997998692677876,0.999782986111111,0.9590949759800717,40.19097222222221,42.66493055555555,2.452256944444442,-0.021701388888895057
8,1,5,0.5649956597222222,0.4991851923996971,0.9827473958333334,0.950087651526802,1.0,0.9997679564484292,1.0,0.958477183706285,41.775173611111114,43.50043402777778,1.725260416666663,0.0
8,2,1,0.5936414930555556,0.5006640355321464,0.9731987847222222,0.93782565787608,1.0,0.9996579107300684,0.9995659722222222,0.956536470624097,37.955729166666664,40.63585069444444,2.63671875,-0.04340277777777901
8,2,2,0.5986328125,0.5107574555781853,0.9729817708333334,0.9427237958247432,1.0,0.9996458499720408,1.0,0.9585990975981856,37.434895833333336,40.13671875,2.701822916666663,0.0
8,2,3,0.6212022569444444,0.5419523914747936,0.9755859375,0.945257017912719,1.0,0.999616873572354,1.0,0.956652415731894,35.43836805555556,37.87977430555556,2.44140625,0.0
8,2,4,0.5909288194444445,0.620889529307736,0.9682074652777778,0.943464897211939,1.0,0.999572967394139,1.0,0.9548229842189624,37.72786458333333,40.90711805555555,3.179253472222221,0.0
8,2,5,0.6013454861111112,0.4989432590316067,0.9780815972222222,0.9369159683342884,1.0,0.9995081622678946,1.0,0.9564539793984718,37.67361111111111,39.865451388888886,2.191840277777779,0.0
8,4,1,0.6878255208333334,0.5902072725636814,0.9818793402777776,0.8940143513296066,1.0,0.9989440638362326,0.9996744791666666,0.945191873693284,29.40538194444442,31.217447916666664,1.7795138888889062,-0.032552083333337034
8,4,2,0.6334635416666666,0.4980705627648333,0.9777560763888888,0.9221585418724328,1.0,0.9991303693687384,1.0,0.944065802415694,34.42925347222222,36.653645833333336,2.224392361111116,0.0
8,4,3,0.6723090277777778,0.5843203817304244,0.9791666666666666,0.9063894956952996,1.0,0.999131476915675,1.0,0.958996772879326,30.685763888888886,32.76909722222222,2.083333333333337,0.0
8,4,4,0.6383463541666666,0.4997708417225334,0.9758029513888888,0.9169836350331098,1.0,0.9989016232406476,0.9997829861111112,0.947344316023324,33.74565972222222,36.165364583333336,2.398003472222232,-0.021701388888883955
8,4,5,0.6399739583333334,0.5023982441964314,0.9799262152777778,0.9158004095386264,1.0,0.9982088607877696,1.0,0.9520399413940016,33.99522569444444,36.002604166666664,2.007378472222221,0.0
8,8,1,0.7022569444444443,0.512165501070618,0.9975043402777778,0.8326877855830217,1.0,0.9943429134939932,1.0,0.9195527297401642,29.52473958333335,29.774305555555568,0.249565972222221,0.0
8,8,2,0.6994357638888888,0.4914079910184358,0.9942491319444444,0.8419592545420378,1.0,0.9948476969739608,1.0,0.9366049529869231,29.481336805555557,30.056423611111114,0.575086805555558,0.0
8,8,3,0.6923828125,0.5013680528748875,0.9956597222222222,0.8413754628604524,1.0,0.9951785583546768,1.0,0.924472961358393,30.32769097222222,30.76171875,0.434027777777779,0.0
8,8,4,0.7112630208333334,0.5243935902796637,0.9949001736111112,0.8643483381079234,1.0,0.9957575435151216,0.9997829861111112,0.937174269405581,28.36371527777778,28.873697916666664,0.48828125,-0.021701388888883955
8,8,5,0.6967230902777778,0.5226644534550094,0.9966362847222222,0.8409373874702077,1.0,0.9978331732235642,1.0,0.9338783016207614,29.991319444444443,30.32769097222222,0.336371527777779,0.0
10,1,1,0.5708550347222222,0.5012282658761263,0.9712456597222222,0.9450525334164346,1.0,0.999944878790647,0.9995659722222224,0.9572456322048012,40.0390625,42.91449652777778,2.832031250000022,-0.04340277777775681
10,1,2,0.5696614583333334,0.5028866287900012,0.9730902777777778,0.9609206889566116,1.0,0.9999869412308988,0.9996744791666666,0.957274862797413,40.34288194444444,43.033854166666664,2.658420138888884,-0.032552083333337034
10,1,3,0.5753038194444445,0.5101436360963811,0.9819878472222224,0.9612225836645282,1.0,0.999955391192909,0.9988064236111112,0.954424506760712,40.66840277777779,42.46961805555555,1.6818576388888729,-0.11935763888888395
10,1,4,0.5710720486111112,0.5408741596252524,0.970703125,0.9551233100708536,1.0,0.999978372612662,0.9998914930555556,0.9572933238604284,39.963107638888886,42.892795138888886,2.918836805555558,-0.010850694444441977
10,1,5,0.5645616319444445,0.500607191398832,0.9736328125,0.9530681634992044,1.0,0.9999684733782812,1.0,0.9498005344668178,40.90711805555555,43.54383680555555,2.63671875,0.0
10,2,1,0.5914713541666666,0.5009803125875583,0.9669053819444444,0.9427615610396796,1.0,0.9999775508637258,0.9996744791666666,0.9374214169997896,37.54340277777778,40.852864583333336,3.276909722222221,-0.032552083333337034
10,2,2,0.597439236111111,0.5007030433180236,0.9728732638888888,0.9468754078383422,1.0,0.9999710337258186,0.9997829861111112,0.9521771253106354,37.54340277777778,40.25607638888889,2.690972222222232,-0.021701388888883955
10,2,3,0.611328125,0.5999294786800079,0.9729817708333334,0.953879001662187,1.0,0.9998983563354716,0.9996744791666666,0.9574898832088422,36.165364583333336,38.8671875,2.669270833333326,-0.032552083333337034
10,2,4,0.5997178819444445,0.4998115152232428,0.9788411458333334,0.9429213784545284,1.0,0.999944774502242,0.9998914930555556,0.9572290596140492,37.912326388888886,40.02821180555555,2.105034722222221,-0.010850694444441977
10,2,5,0.5998263888888888,0.5099456210639132,0.9705946180555556,0.948287846877404,1.0,0.9999488503195142,1.0,0.9564729533860828,37.07682291666667,40.017361111111114,2.940538194444442,0.0
10,4,1,0.6563585069444445,0.599183071903997,0.9788411458333334,0.9150748375603308,1.0,0.9998795684488184,0.9995659722222222,0.9492515476832448,32.248263888888886,34.36414930555555,2.072482638888884,-0.04340277777777901
10,4,2,0.6698133680555557,0.5397973230387304,0.9740668402777778,0.9137890033503908,1.0,0.9999442686174056,1.0,0.959365642114092,30.42534722222221,33.01866319444443,2.593315972222221,0.0
10,4,3,0.6668836805555555,0.5949014628224149,0.9806857638888888,0.9173652309128618,1.0,0.9997896136807828,0.9997829861111112,0.9558190162420268,31.380208333333336,33.31163194444445,1.909722222222232,-0.021701388888883955
10,4,4,0.6357421875,0.5000695500120276,0.9705946180555556,0.9154814526046704,1.0,0.9999046446507366,0.9998914930555556,0.957975936132304,33.48524305555556,36.42578125,2.9296875,-0.010850694444441977
10,4,5,0.6408420138888888,0.5094528477220773,0.9750434027777776,0.9038510672387728,1.0,0.9998669976448578,0.9998914930555556,0.9600937737942988,33.42013888888887,35.915798611111114,2.484809027777801,-0.010850694444441977
10,8,1,0.6985677083333334,0.5302504146432865,0.9877387152777778,0.8657296138900152,1.0,0.9996146169227038,0.9997829861111112,0.9181246081679992,28.917100694444443,30.143229166666664,1.204427083333337,-0.021701388888883955
10,8,2,0.7943793402777778,0.5468491827188792,0.9937065972222224,0.837836287686729,1.0,0.999528029706305,1.0,0.9348449927782464,19.932725694444464,20.56206597222222,0.6293402777777568,0.0
10,8,3,0.766818576388889,0.4928119312509785,0.9871961805555556,0.8406628862368084,1.0,0.999559902867702,1.0,0.9376021747811852,22.037760416666664,23.318142361111104,1.280381944444442,0.0
10,8,4,0.7080078125,0.5210809509388888,0.990234375,0.8652569471767815,1.0,0.999844649144324,0.9998914930555556,0.9460054657286716,28.22265625,29.19921875,0.965711805555558,-0.010850694444441977
10,8,5,0.6983506944444443,0.52864896531476,0.9917534722222222,0.8662240194536738,1.0,0.9997062993462342,1.0,0.9392599587654186,29.34027777777779,30.164930555555568,0.824652777777779,0.0
